marc|MARC|Y
rda|MARC for RDA (Resource Description & Access)|Y
marcuni|MARC-UTF8|Y
isadg|ISAD(G): International Standard Archival Description
dubcore|DublinCore Repository
agrovoc|Agrovoc Thesaurus
biblo|Cepal|Y
dcdspace|dSpace Bridge
doaj|DOAJ: Directory of Open Access Journals
experts|Experts
projects|Projects
providers|Acq - Providers
purchaseorder|Acq - Purchase Orders
suggestions|Acq - Suggestions (Acquisitions)
copies|Circ - Collection inventory
loanobjects|Circ - Loan objects
users|Circ - Patrons
reserve|Circ - Reservations
suspml|Circ - Suspensions and fines
trans|Circ - Transactions Loans
acces|Sys - Administration Users/Operators (acces)
