#|Natureza do conteúdo não especificado
a|Resumos/sumários
b|Bibliografias
c|Catálogos
d|Dicionários
e|Enciclopédias
f|Manuais
g|Artigos jurídicos
i|Índices
j|Patentes
k|Discografia
l|Legislação
m|Teses 
n|Análise de literatura de uma área
o|Recensões
p|Textos programados
q|Filmografias
r|Guias/Indicadores/Diretórios
s|Estatísticas
t|Relatórios técnicos
u|Normas/Especificações
v|Notas sobre casos legais
w|Relatórios de legislação e jurisprudências
y|Anuários
z|Tratados
2|Separatas
5|Calendários
6|História em quadrinhos/Romance gráfico
-|Não se tentou codificar
