#|No specified nature of entire work 
a|Abstracts/summaries of other publications
b|Bibliographies 
c|Catalogs 
d|Dictionaries  or glossaries
e|Encyclopedias 
f|Handbooks 
g|Legal articles 
h|Biography 
i|Indexes of others material
k|Discographies 
l|Legislation 
m|Theses 
n|Surveys of literature in a subject area 
o|Reviews 
p|Programmed texts 
q|Filmographies 
r|Directories 
s|Statistics 
t|Technical reports 
v|Legal cases and case notes 
w|Law reports and digests 
z|Treaties 
|No attempt to code
