0|LC-based call number assigned by LAC 
1|Complete LC class number assigned by LAC 
2|Incomplete LC class number assigned by LAC 
3|LC-based call number assigned by the contributing library 
4|Complete LC class number assigned by the contributing library 
5|Incomplete LC class number assigned by the contributing library 
6|Other call number assigned by LAC 
7|Other class number assigned by LAC 
8|Other call number assigned by the contributing library 
9|Other class number assigned by the contributing library 



