ccartographic dataset|artographic dataset
cartographic image|cartographic image
cartographic moving image|cartographic moving image
cartographic tactile image|cartographic tactile image
cartographic tactile three-dimensional form|cartographic tactile three-dimensional form
cartographic three-dimensional form|cartographic three-dimensional form
computer dataset|computer dataset
notated movement|notated movement
notated music|notated music
performed music|performed music
sounds|sounds
spoken word|spoken word
still image|still image
tactile image|tactile image
tactile notated music|tactile notated music
tactile notated movement|tactile notated movemen
tactile text|tactile text
tactile three-dimensional form|tactile three-dimensional form
text|text
three-dimensional form|three-dimensional form
three-dimensional moving image|three-dimensional moving image
two-dimensional moving image|two-dimensional moving image
other|other
unspecified|unspecified
