0|Signatura topografica con base en LC, asignada por NLC 
1|Número clasificador LC completo, asignado por NLC                                              
2|Número clasificador LC incompleto, asignado por NLC                        
3|Signatura topografica con base en LC, asignada por una biblioteca participante       
4|Número clasificador LC completo, asignado por una biblioteca participante  
5|Número clasificador de LC incompleto, asignado por una biblioteca participante  
6|Otra signatura topográfica asignada por NLC  
7|Otro número clasificador asignado por NLC 
8|Otra signatura topográfica asignada por una biblioteca participante  
9|Otro número clasificador asignado por una la biblioteca paticipante  



