###|Sem informações fornecidas
zxx|Não há conteúdo lingüístico
abk|Abkhaz
ace|Achinese
ach|Acoli
ada|Adangme
aar|Afar
afh|Afrihili (Linguagem artificial)
afr|Afrikaans
afa|Afroasiático, Mada (Camarões), Tupuri (Outros)
aka|Akan
akk|Akkadian
alb|Albanês
ale|Aleut
alg|Algonquian (Outros)
tut|Altaic (Outros)
amh|Amárico
apa|Línguas Apache
ara|árabe
arc|Aramaico
arp|Arapaho
arw|Arawak
arm|Armênio
art|Artificial (Outros)
asm|Assamês
ath|Athapascan (Outros)
aus|Idiomas australianos, Kitja
map|Austronésio (Outros)
ava|Avaric
ave|Avestan
awa|Awadhi
aym|Aymara
aze|Azerbaijano
ban|Balinês
bat|Báltico (Outros)
bal|Baluchi
bam|Bambara
bai|Idiomas Bamileke
bad|Banda
bnt|Bantu (Outros)
bas|Basa
bak|Bashkir
baq|Basco
btk|Batak
bej|Beja
bel|Bielorrusso
bem|Bemba
ben|Bengali
ber|Berbere (Outros)
bho|Bhojpuri
bih|Bihari
bik|Bikol
bin|Bini
bis|Bislama
bos|Bósnio
bra|Braj
bre|Bretão
bug|Bugis
bul|Búlgaro
bua|Buriat
bur|Birmanês
cad|Caddo
rom|Cal¢ (Romani)
car|Carib
cat|Catalão
cau|Caucasiano, Dido (Outros)
ceb|Cebuano
cel|Celta (Outros)
cai|Índio centro-americano, Amuzgo (Outros)
chg|Chagatai
cmc|Idiomas châmicos
cha|Chamorro
che|Checheno
chr|Cherokee
chy|Cheyenne
chb|Chibcha
chi|Chinês
chn|Jargão Chinook
chp|Chipewyan
cho|Choctaw
chu|Igreja Eslava
chv|Chuvash
cop|Coptic
cor|Cornish
cos|Córsego
cre|Cree
mus|Córrego
crp|Creoles e Pidgins (Outros)
cpe|Creoles e Pidgins, com base em inglês (Outros)
cpf|Creoles e Pidgins, Micif,sediada na França (Outros)
cpp|Creoles e Pidgins, com base em português (Outros)
scr|Croata
cus|Cushitic (Outros)
cze|Tcheco
dak|Dakota
dan|Dinamarquês
day|Dayak
del|Delaware
din|Dinka
div|Divehi
doi|Dogri
dgr|Dogrib
dra|Dravidiano (Outros)
dua|Duala
dut|Holandês
dum|Holandês, Médio (ca. 1050-1350)
dyu|Dyula
dzo|Dzongkha
efi|Efik
egy|Egípcio
eka|Ekajuk
elx|Elamite
eng|Inglês
enm|Inglês, Médio (1100-1500)
ang|Inglês, antigo (ca. 450-1100)
epo|Esperanto
est|Estoniano
gez|Etíope
ewe|Ewe
ewo|Ewondo
fan|Fang
fat|Fanti
fao|Faroês
fij|Fijian
fin|Finlandês
fiu|Finno-Ugrian (Outros)
fon|Fon
fre|Francês
frm|Francês, Médio (ca. 1400-1600)
fro|Francês, antigo (ca. 842-1400)
fry|Frisiano
fur|Friuliano
ful|Fula
gaa|GÆ
glg|Galego
lug|Ganda
gay|Gayo
gba|Gbaya
geo|Georgiano
ger|Alemão
gmh|Alemão, Alta Média (ca. 1050-1500)
goh|Alemão, antigo Alto (ca. 750-1050)
gil|Gilbertese
gon|Gondi
gor|Gorontalo
got|Gótico
grb|Grebo
grc|Grego, Antigo (até 1453)
gre|Grego, Moderno (1453- )
grn|Guarani
guj|Gujarati
sem|Idiomas do Gurage
gwi|Gwich'in
hai|Haida
hau|Hausa
haw|havaiano
heb|Hebraico
her|Herero
hil|Hiligaynon
him|Himachali
hin|Hindi
hmo|Hiri Motu
hit|Hittite
hmn|Hmong
hun|Húngaro
hup|Hupa
iba|Iban
ice|Islandês
ibo|Igbo
ijo|Ijo
ilo|Iloko
inc|Indic, Suriname Hindustani (Outros)
ine|Indo-Europeu (Outros)
ind|Indonésio
ina|Interlingua (Associação Internacional de Línguas Auxiliares)
ile|Interlingue
iku|Inuktitut
ipk|Inupiaq
ira|Iraniano (Outros)
gle|Irlandês
mga|Irlandês, Médio (ca. 1100-1550)
sga|Irlandês, antigo (até 1100)
iro|Iroquoiano (Outros)
ita|Italiano
jpn|Japonês
jav|Javanês
jrb|Judeu-Árabe
jpr|Judeu-Persa
kab|Kabyle
kac|Kachin, Achang
kal|Kalâtdlisut
kam|Kamba
kan|Kannada
kau|Kanuri
kaa|Kara-Kalpak
kar|Karen
kas|Kashmiri
kaw|Kawi
kaz|Cazaque
kha|Khasi
khm|Khmer
khi|Khoisan (Outros)
kho|Khotanese
kik|Kikuyu
kmb|Kimbundu
kin|Kinyarwanda
kom|Komi
kon|Kongo
kok|Konkani
kor|Coreano
kpe|Kpelle
kro|Kru
kua|Kuanyama
kum|Kumyk
kur|Curdo
kru|Kurukh
kos|Kusaie
kut|Kutenai
kir|Quirguizes
lad|Ladino
lah|Lahnda
lam|Lamba
lao|Lao
lat|Latim
lav|Letão
ltz|Letzeburgesch
lez|Lezgian
lin|Lingala
lit|Lituano
nds|Baixo alemão
loz|Lozi
lub|Luba-Katanga
lua|Luba-Lulua
lui|Luise¤o
lun|Lunda
luo|Luo (Quênia e Tanzânia)
lus|Lushai
mac|Macedônia
mad|Madurese
mag|Magahi
mai|Maithili
mak|Makasar
mlg|Malgaxe
may|Malaio
mal|Malayalam
mlt|Maltês
mnc|Manchu
mdr|Mandar
man|Mandingo
mni|Manipuri
mno|Idiomas Manobo
glv|Manx
mao|Maori
arn|Mapuche
mar|Marathi
chm|Mari
mah|Marshallese
mwr|Marwari
mas|Masai
myn|Idiomas maias
men|Mende
mic|Micmac
min|Minangkabau
