a|material linguístico|bk_8.fdt
c|música notada|mu_8.fdt
d|música manuscrita|mu_8.fdt
e|material cartográfico|mp_8.fdt
f|material cartográfico manuscrito|mp_8.fdt
g|meio projetado|vm_8.fdt
i|gravação sonora não-musical|mu_8.fdt
j|gravação de som musical|mu_8.fdt
k|gráfico bidimensional não-projetável|vm_8.fdt
m|arquivo de computador|cf_8.fdt
o|kit|vm_8.fdt
p|material misto|mm_8.fdt
r|artefato tridimensional ou objeto de ocorrência natural|vm_8.fdt
t|material de linguagem do manuscrito|bk_8.fdt
