aperture card|cartão de abertura
audio cartridge|cartucho de áudio
audio cylinder|cilindro de áudio
audio disc|disco de áudio
audio roll|rolo de áudio
audiocassette|audiocassete
audiotape reel|bobina de fitas de áudio
card|cartão
computer card|cartão de computador
computer chip cartridge|cartucho de chip de computador
computer disc|disco de computador
computer disc cartridge|cartucho de disco de computador
computer tape cartridge|cartucho de fita adesiva para computador
computer tape cassette|fita cassete para computador
computer tape reel|bobina de fita adesiva para computador
film cartridge|cartucho de filme
film casssette|cassete de filme
film reel|rolo de filme
film roll|rolo de filme
filmchart|filmchart
filmslip|filmslip
filmstrip|fita de cinema
filmstrip cassette|fita cassete de filme
microfiche|microficha
microfiche cassette|cassete microficha
microfilm reel|carretel de microfilme
microfilm roll|rolo de microfilme
microfilm slip|deslizamento do microfilme
microopaque|microopaque
microscope slide|lâmina de microscópio
object|objeto
online resource|recurso online
overhead transparency|transparência aérea
roll|rolo
sheet|folha
slide|slide
sound track reel|bobina de trilha sonora
stereograph card|placa estereográfica
stereograph disc|disco estereógrafo
video cartridge|cartucho de vídeo
video cassette|cassete de vídeo
videodisc|videodisco
videotape reel|carretel de fita de vídeo
volume|volume
other|outros
unspecified|não especificado
