actor|Ator
adapter|Adaptador
annotator|Anotador
applicant|Requerente
architect|Arquiteto
arranger|Arranjador
artist|Artista
assignee|Cessionário
associated name|Nome associado
attributed name|Nome atribuído
auctioneer|Leiloeiro
author|Autor
author in quotations or text abstracts|Autor em citações ou resumos de texto
author of afterword, colophon, etc.|Autor de pós-palavra, cólofon, etc.
author of introduction|Autor de introdução
author of screenplay, etc|Autor de roteiros, etc.
bibliographic antecedent|Antecedentes bibliográficos
binder|Fichário
binding designer|Designer de encadernação
book designer|Desenhista de livros
book producer|Produtor de livros
bookjacket designer|Desenhista de colete de livro
bookplate designer|Desenhista de placas de livro
bookseller|Livraria
calligrapher|Calígrafo
cartographer|Cartógrafo
censor|Censor
choreographer|Coreógrafo
client|Cliente
collaborator|Colaborador
collector|Coletor
collotyper|Collotyper
commentator|Comentador
compiler|Compilador
complainant|Reclamante
complainant-appellant|Reclamante-apelente
complainant-appellee|Reclamante-apellee
composer|Compositor
compositor|Compositor
conceptor|Conceitora
conductor|Maestro
consultant|Consultor
contestant|Contestante
contestant-appellant|Contestant-appellant
contestant-appellee|Contestant-appellee
contestee|Contestee
contestee-appellee|Contestee-appellee
contractor|Empreiteiro
contributor|Contribuinte
copyright claimant|Requerente dos direitos autorais
copyright holder|Detentor dos direitos autorais
corrector|Corretor
correspondent|Correspondente
costume designer|Designer de figurino
creator|Criador
curator|Curadoria
dancer|Dançarino
dedicatee|Dedicar
dedicator|Dedicador
defendant|Demandado
defendant-appellant|Defensor-apelente
defendant-appellee|Defendant-appellee
delineator|Delineador
depositor|Depositário
designer|Designer
director|Diretor
dissertant|Dissertante
distributor|Distribuidor
donor|Doador
draftsman|Autor
dubious author|Autor duvidoso
editor|Editor
electrotyper|Eletropetroleiro
engineer|Engenheiro
engraver|Engraver
etcher|Etcher
expert|Especialista
facsimilist|Facsimilista
film editor|Editor de filmes
forger|Forjador
former owner|Ex-proprietário
funder|Fundador
graphic technician|Técnico gráfico
honoree|Honorário
host|Anfitrião
illuminator|Iluminador
illustrator|Ilustrador
inscriber|Inscriber
instrumentalist|Instrumentalista
interviewee|Entrevistado
interviewer|Entrevistador
inventor|Inventor
landscape architect|Arquiteto paisagista
lender|Credor
libelant|Libelant
libelant-appellant|Libelant-appellant
libelant-appellee|Libelant-appellee
libelee|Libelee
libelee-appellant|Libelee-appellant
libelee-appellee|Libelee-appellee
librettist|Librettist
licensee|Licenciado
licensor|Licenciador
lithographer|Litógrafa
lyricist|Lírico
metadata contact|Contato Metadados
metal-engraver|Metal-engraver
moderator|Moderador
monitor|Monitor
musician|Músico
narrator|Narrador
originator|Originador
other|Outros
owner|Proprietário
papermaker|Fabricante de papel
patent holder|Titular da patente
patron|Patrono
performer|Executante
photographer|Fotógrafo
plaintiff|Autor
plaintiff-appellant|Recorrente da petição
plaintiff-appellee|Plaintiff-appellee
platemaker|Produtor de chapas
printer|Impressora
printer of plates|Impressora de placas
process contact|Contato do processo
producer|Produtor
production personnel|Pessoal de produção
programmer|Programador
proofreader|Revisor
publisher|Editora
publishing director|Diretor de publicação
recipient|Destinatário
recording engineer|Engenheiro de gravação
redactor|Redator
renderer|Renderizador
respondent|Respondente
respondent-appellant|Respondente-atacante
respondent-appellee|Respondent-appellee
reviewer|Revisor
rubricator|Rubricador
scenarist|Cenarista
scientific advisor|Consultor científico
scribe|Escriba
sculptor|Escultor
secretary|Secretário
signer|Assinante
singer|Cantor
speaker|Orador
sponsor|Patrocinador
stereotyper|Estereótipo
surveyor|Topógrafa
thesis advisor|Assessor de tese
transcriber|Transcriber
translator|Tradutora
type designer|Designer de tipo
typographer|Tipógrafo
vocalist|Vocalista
witness|Testemunha
wood-engraver, woodcutter|Engraxador de madeira, lenhador
writer of accompanying material|Escritor do material de acompanhamento
