cou|A Corte se regeu 
abr|Abridger 
adp|Adaptador 
pma|Agência de licenciamento 
anl|Analista 
hst|Anfitrião 
anm|Animador 
ann|Anotador 
ant|Antecedentes bibliográficos 
sht|Apoio ao anfitrião 
ape|Appellee 
pre|Apresentador 
osp|Apresentador na tela 
arc|Arquiteto 
lsa|Arquiteto paisagista 
arr|Arranjador 
art|Artista 
ths|Assessor de tese 
sgn|Assinante 
act|Ator 
vac|Ator de voz 
ato|Autografista 
aut|Autor 
drm|Autor 
ptf|Autor 
aui|Autor da introdução, etc. 
aud|Autor de diálogo 
aft|Autor de pós-palavra, cólofon, etc. 
dub|Autor duvidoso 
aqt|Autor em citações ou resumos de texto 
cll|Calígrafo 
sng|Cantor 
ctg|Cartógrafo 
sce|Cenarista 
std|Cenógrafo 
cns|Censor 
asg|Cessionário 
rth|Chefe da equipe de pesquisa 
led|Chumbo 
fmk|Cineasta 
cng|Cinematógrafo 
cli|Cliente 
col|Coletor 
clt|Collotyper 
clr|Colorista 
cmm|Comentador 
cwt|Comentador de texto escrito 
com|Compilador 
cmp|Compositor 
cmt|Compositor 
ccp|Conceitora 
stg|Configuração 
con|Conservador 
csl|Consultor 
sad|Consultor científico 
csp|Consultor de um projeto 
stl|Contador de histórias 
prc|Contato do processo 
mdc|Contato Metadados 
coe|Contestant-appellee 
cos|Contestante 
cot|Contestante-apelente 
cts|Contestee 
cte|Contestee-appellee 
ctb|Contribuinte 
dtc|Contribuinte de dados 
acp|Copiador de arte 
mcp|Copiador de música 
chr|Coreógrafo 
crp|Correspondente 
crr|Corretor 
crr|Corretor 
len|Credor 
cre|Criador 
cur|Curadoria 
dnc|Dançarino 
enj|Decretando jurisdição 
dto|Dedicador 
dte|Dedicar 
dfe|Defendant-appellee 
dft|Defensor-apelente 
dln|Delineador 
dfd|Demandado 
dpt|Depositário 
dpc|Desenhado 
bjd|Desenhista de colete de livro 
bkd|Desenhista de livros 
bpd|Desenhista de placas de livro 
dsr|Designer 
cov|Designer da capa 
bdd|Designer de encadernação 
cst|Designer de figurino 
sds|Designer de som 
tyd|Designer de tipo 
rcp|Destinatário 
cph|Detentor dos direitos autorais 
drt|Diretor 
ard|Diretor artístico 
adi|Diretor de arte 
fld|Diretor de campo 
fmd|Diretor de cinema 
sgd|Diretor de palco 
pbd|Diretor de publicação 
rdd|Diretor de rádio 
tld|Diretor de Televisão 
ldr|Diretor do laboratório 
pdr|Diretor do projeto 
msd|Diretor musical 
tcd|Diretor técnico 
dis|Dissertante 
dst|Distribuidor 
fds|Distribuidor de filmes 
dnr|Doador 
edt|Editor 
edc|Editor de compilação 
flm|Editor de filmes 
mrk|Editor de marcas 
edm|Editor de trabalho de imagem em movimento 
pbl|Editora 
elg|Eletricista 
elt|Eletropetroleiro 
brd|Emissora 
ctr|Empreiteiro 
prn|Empresa de produção 
eng|Engenheiro 
rce|Engenheiro de gravação 
egr|Engraver 
ive|Entrevistado 
ivr|Entrevistador 
scr|Escriba 
blw|Escritor de Blurb 
wac|Escritor de comentário adicional 
wst|Escritor de conteúdo textual suplementar 
win|Escritor de introdução 
wal|Escritor de letras adicionadas 
wat|Escritor de texto adicionado 
wam|Escritor do material de acompanhamento 
wpr|Escritor do prefácio 
scl|Escultor 
exp|Especialista 
gis|Especialista em informações geográficas 
str|Estereótipo 
etr|Etcher 
prf|Executante 
fmo|Ex-proprietário 
mfr|Fabricante 
ppm|Fabricante de papel 
fac|Facsimilista 
bnd|Fichário 
frg|Forjador 
prv|Fornecedor 
pht|Fotógrafo 
fnd|Fundador 
dtm|Gerente de dados 
stm|Gerente de palco 
pmn|Gerente de produção 
brl|Gofrador em braile 
wde|Gravador de madeira 
hnr|Honorário 
ilu|Iluminador 
ill|Ilustrador 
prt|Impressora 
