act|Ator
adp|Adaptador
aft|Autor do postface, cólofon
ann|Anotador
ant|Antecedentes Bibliográficos
app|Requerente
aqt|Autor de citações ou resumos
arc|Arquiteto
arr|Arranjador
art|Artista
asg|Proxy
asn|Nome do associado
att|Nome atribuído
auc|Leiloeiro
aui|Autor da introdução
aus|Autor da animação da tela, etc.
aut|Autor
bdd|Designer de encadernação
bjd|Designer da capa do livro
bkd|Desenhista de livros
bkp|Produtor de livros
bnd|Encadernador de livros
bpd|Ex-desenhista da libris
bsl|Livraria
ccp|Autor intelectual
chr|Coreógrafo
clb|Colaborador
cli|Cliente
cll|Calígrafo
clt|Clotipiador
cmm|Comentador
cmp|Compositor
cmt|Compositor
cnd|Maestro
cns|Censor
coe|Plaintiff-appellee
col|Coletor
com|Compilador
cos|Autor
cot|Recorrente da petição
cpc|Direitos Autorais Autorais
cpe|Recorrente da petição
cph|Detentor dos direitos autorais
cpl|Reclamante
cpt|Reclamante-apelente
cre|Criador
crp|Correspondente
crr|Revisor
csl|Consultor
cst|Designer de figurino, designer de guarda-roupa
ctb|Contribuinte
cte|Recorrente do conteúdo
ctg|Cartógrafo
ctr|Empreiteiro
cts|Respondente
cur|Curadoria
dfd|Defensor
dfe|Defender-appellee
dft|Defensor-apelente
dis|Palestrante
dln|Desenhista, desenhista
dnc|Dançarino
dnr|Doador
dpt|Depositário
drm|Autor
drt|Diretor
dsr|Designer
dst|Distribuidor
dte|Dedicador
dto|Dedicador
dub|Autor duvidoso
edt|Editora
egr|Engraver
elt|Eletrotipista
eng|Engenheiro
etr|Gravador de água dura
exp|Especialista
fac|Facsimilador
flm|Editor de filmes
fmo|Proprietário anterior
fnd|Fundador
frg|Cineasta
grt|Técnico gráfico
hnr|Homenageado
hst|Anfitrião
ill|Ilustrador
ilu|Iluminador
ins|Marcador
inv|Inventor
itr|Instrumentalista
ive|Entrevistado
ivr|Entrevistador
lbt|Librettist
lee|Defamed-appellee
lel|Difamado
len|Fornecedor
let|Difamado - reclamante
lie|Defamer-apelente
lil|Difamador
lit|Defamer-apelente
lsa|Arquiteto Paisagista
lse|Licenciado
lso|Licenciador
ltg|Litógrafa
lyr|Autor da letra de uma canção
mdc|Contato Metadados
mod|Moderador
mon|Monitor
mte|Gravador de latão
mus|Músico
nrt|Narrador
org|Criador
oth|Outros
own|Proprietário
pat|Patrono
pbd|Diretor de publicação
pbl|Editora
pfr|Revisor
pht|Fotógrafo
plt|Produtor de placas
pop|Impressora de placas
ppm|Fabricante de papel
prc|Contato do processo
prd|Pessoal de produção
prf|Executante
prg|Programador
pro|Produtor
prt|Impressora
pte|Plaintiff-appellee
ptf|Autor
pth|Titular da patente
ptt|Requerente-Apelante
rbr|Registrado
rce|Engenheiro de Gravação
rcp|Destinatário
red|Editor
ren|Desenhista de renderização
rev|Revisor
rse|Respondent-appellee
rsp|Respondente
rst|Respondente-atacante
sad|Consultor científico
sce|Animador de tela
scl|Escultor
scr|Escreva para
sec|Secretário
sgn|Assinante
sng|Cantor
spk|Orador
spn|Patrocinador
srv|Topógrafa
str|Estereotípico
ths|Consultor de tese
trc|Transcriber
trl|Tradutora
tyd|Tipo Designer
tyg|Tipógrafo
voc|Vocalista
wam|Escritor do material de acompanhamento
wde|Gravador de madeira, cortador de madeira
wit|Testemunha
