3006 3007
BK_a_LI.fmt|a|m|Material textual (livro)
BK_t_TE.fmt|t|m|Tese/Dissertação
MS_j_CD.fmt|j|m|Audio-CD
PM_g_DVD.fmt|g|m|DVD-video
PM_g_PM.fmt|g|m|Outro recurso projetado
CF_m_AC.fmt|m|m|Recurso eletrônico (arquivo de computador)
MP_e_MC.fmt|e|m|Recurso cartográfico
NM_c_MN.fmt|c|m|Música notada
GR_k_PO.fmt|k|m|Recurso gráfico bidimensional
GR_r_OB.fmt|r|m|Recurso tridimensional (artefato ou objeto)
VM_o_KI.fmt|o|m|Kit (dois ou mais tipos publicados juntos)
MM_p_MM.fmt|p|c|Material Misto - Vários tipos
SE_s_PE.fmt|a|s|Jornal
SE_s_AP.fmt|a|b|Artigo de periódico
BC_a_LC.fmt|a|a|Capítulo de livro
