24-27	SE	# 	 Natureza do conteúdo não especificado 
24-27	SE	a 	 Resumos/sumários de outras publicações
24-27	SE	b 	 Bibliografias 
24-27	SE	c 	 Catálogos 
24-27	SE	d 	 Ditionários  ou glossários
24-27	SE	e 	 Enciclopédias 
24-27	SE	f 	 Manuais 
24-27	SE	g 	 Artigos jurídicos  
24-27	SE	h 	 Biografia 
24-27	SE	i 	 Índices de outros materiais
24-27	SE	k 	 Discografias 
24-27	SE	l 	 Legislação 
24-27	SE	m 	 Teses 
24-27	SE	n 	 Levantamento da literatura de uma área de estudo	 
24-27	SE	o 	 Revisões/críticas	 
24-27	SE	p 	 Textos programados 
24-27	SE	q 	 Filmograpfias 
24-27	SE	r 	 Diretórios/guias/indicadores 
24-27	SE	s 	 Estatísticas 
24-27	SE	t 	 Relatórios técnicos 
24-27	SE	v 	 Casos legais e notas de casos 
24-27	SE	w 	 Relatórios de legislação e jurisprudências 
24-27	SE	z 	 Tratados	 
24-27	SE	| 	 Não se tentou codificar
