AFN|Afegane
MGA|Ariary
THB|Baht
PAB|Balboa
ETB|Birr etíope
VES|bolívar soberano |venezuelano
BOB|Boliviano
BOV|Boliviano Mvdol
GHS|Cedi
CRC|Colon da Costa Rica
SVC|Colon de El Salvador
NIO|Cordoba Oro
CZK|Coroa checa
DKK|Coroa dinamarquesa
ISK|Coroa islandesa
NOK|Coroa norueguesa
SEK|Coroa Sueca
GMD|Dalasi
MKD|Denar
DZD|Dinar argelino
BHD|Dinar do Bahrein
KWD|Dinar do Kuwait
IQD|Dinar iraquiano
JOD|Dinar jordano
LYD|Dinar líbio
RSD|Dinar Sérvio
SDG|Dinar sudanês
TND|Dinar tunisino
AED|Dirham dos Emirados
MAD|Dirham marroquino
STN|Dobra
USD|Dólar americano
USN|Dólar americano "next day"
USS|Dólar americano "same day"
AUD|Dólar australiano
BMD|Dólar bermudense
CAD|Dólar canadense
GYD|Dólar da Guiana
NAD|Dólar da Namíbia
NZD|Dólar da Nova Zelândia
BSD|Dólar das Bahamas
XCD|Dólar das Caraíbas Orientais
FJD|Dólar das Fiji
KYD|Dólar das Ilhas Cayman
SBD|Dólar das Ilhas Salomão
BBD|Dólar de Barbados
HKD|Dólar de Hong Kong
SGD|Dólar de Singapura
TTD|Dólar de Trindade e Tobago
BZD|Dólar do Belize
BND|Dólar do Brunei
SRD|Dólar do Suriname
JMD|Dólar jamaicano
LRD|Dólar liberiano
ZWL|Dólar zimbabuano
VND|Dong
AMD|Dram
CVE|Escudo cabo-verdiano
EUR|Euro
XBA|European Composite Unit
XBB|European Monetary Unit
XBD|European Unit of Account 17
XBC|European Unit of Account 9
ANG|Florim
AWG|Florim de Aruba
HUF|Forint
XAF|Franco CFA central
XOF|Franco CFA ocidental
XPF|Franco CFP
KMF|Franco comoriano
CDF|Franco congolês
GNF|Franco da Guiné
BIF|Franco do Burundi
DJF|Franco do Djibuti
RWF|Franco do Ruanda
CHF|Franco suíço
HTG|Gourde
UAH|Grívnia
PYG|Guarani
JPY|Iene
PGK|Kina
LAK|Kip
HRK|Kuna croata
MWK|Kwacha
ZMW|Kwacha
AOA|Kwanza
MMK|Kyat
GEL|Lari
LVL|Lats
ALL|Lek
HNL|Lempira
MDL|Leu moldávio
RON|Leu romeno
BGN|Lev búlgaro
SYP|Libra da Síria
FKP|Libra das Malvinas
GIP|Libra de Gibraltar
SHP|Libra de Santa Helena
EGP|Libra egípcia
GBP|Libra Esterlina
LBP|Libra libanesa
IMP|Libra manesa
SZL|Lilangeni
LTL|Litas
LSL|Loti
AZN|Manat do Azerbaijão
TMT|Manat turcomano
BAM|Marco convertível
MZN|Metical
NGN|Naira
ERN|Nakfa
BTN|Ngultrum
TRY|Nova Lira turca
TWD|Novo dólar de Taiwan
PEN|Nuevo Sol
MRO|Ouguiya
XAU|Ouro
TOP|Pa'anga
XPD|Paládio
MOP|Pataca
DOP|Peso
ARS|Peso Argentino
CLP|Peso chileno
COP|Peso colombiano
CUP|Peso cubano
CUC|Peso cubano convertível
PHP|Peso filipino
MXN|Peso mexicano
UYU|Peso uruguaio
UYI|Peso uruguaio em Unidades Indexadas
XPT|Platina
XAG|Prata
BWP|Pula
GTQ|Quetzal guatemalteco
ZAR|Rand
BRL|Real
CNY|Renminbi
XTS|Reservado para efeitos de teste
QAR|Rial do Qatar
YER|Rial iemenita
IRR|Rial iraniano
OMR|Rial Omani
KHR|Riel
MYR|Ringgit
SAR|Riyal
RUB|Rublo
BYR|Rublo bielorrusso
MVR|Rufiyaa
SCR|Rupia das Seychelles
LKR|Rupia do Sri Lanka
INR|Rupia indiana
IDR|Rupia indonésia
MUR|Rupia mauriciana
NPR|Rupia nepalesa
PKR|Rupia paquistanesa
XXX|Sem moeda
ILS|Shekel
KGS|Som
UZS|Som uzbeque
TJS|Somoni
XDR|Special Drawing Rights
ECS|Sucre
BDT|Taka
WST|Tala
KZT|Tenge
MNT|Tugrik
XFU|UIC franc
CLF|Unidade de Fomento
COU|Unidade de Valor Real
MXV|Unidade Mexicana de Investimento
VUV|Vatu
CHE|WIR euro
CHW|WIR franc
KPW|Won norte-coreano
KRW|Won sul-coreano
TZS|Xelim da Tanzânia
KES|Xelim queniano
SOS|Xelim somali
UGX|Xelim ugandês
PLN|Zloty
	
