aar|Afar
abk|Abkhaz
ace|Achinese
ach|Acoli
ada|Adangme
afa|Afroasiatic, Mada (Cameroon), Tupuri (Other)
afh|Afrihili (Artificial language)
afr|Afrikaans
aka|Akan
akk|Akkadian
alb|Albanian
ale|Aleut
alg|Algonquian (Other)
amh|Amharic
ang|English, Old (ca. 450-1100)
apa|Apache languages
ara|Arabic
arc|Aramaic
arm|Armenian
arn|Mapuche
arp|Arapaho
art|Artificial (Other)
arw|Arawak
asm|Assamese
ath|Athapascan (Other)
aus|Australian languages, Kitja
ava|Avaric
ave|Avestan
awa|Awadhi
aym|Aymara
aze|Azerbaijani
bad|Banda
bai|Bamileke languages
bak|Bashkir
bal|Baluchi
bam|Bambara
ban|Balinese
baq|Basque
bas|Basa
bat|Baltic (Other)
bej|Beja
bel|Belarusian
bem|Bemba
ben|Bengali
ber|Berber (Other)
bho|Bhojpuri
bih|Bihari
bik|Bikol
bin|Bini
bis|Bislama
bla|Siksika
bnt|Bantu (Other)
bos|Bosnian
bra|Braj
bre|Breton
btk|Batak
bua|Buriat
bug|Bugis
bul|Bulgarian
bur|Burmese
cad|Caddo
cai|Central American Indian, Amuzgo (Other)
car|Carib
cat|Catalan
cau|Caucasian, Dido (Other)
ceb|Cebuano
cel|Celtic (Other)
cha|Chamorro
chb|Chibcha
che|Chechen
chg|Chagatai
chi|Chinese
chk|Truk
chm|Mari
chn|Chinook jargon
cho|Choctaw
chp|Chipewyan
chr|Cherokee
chu|Church Slavic
chv|Chuvash
chy|Cheyenne
cmc|Chamic languages
cop|Coptic
cor|Cornish
cos|Corsican
cpe|Creoles and Pidgins, English-based (Other)
cpf|Creoles and Pidgins, Micif,French-based (Other)
cpp|Creoles and Pidgins, Portuguese-based (Other)
cre|Cree
crp|Creoles and Pidgins (Other)
cus|Cushitic (Other)
cze|Czech
dak|Dakota
dan|Danish
day|Dayak
del|Delaware
den|Slave
dgr|Dogrib
din|Dinka
div|Divehi
doi|Dogri
dra|Dravidian (Other)
dua|Duala
dum|Dutch, Middle (ca. 1050-1350)
dut|Dutch
dyu|Dyula
dzo|Dzongkha
efi|Efik
egy|Egyptian
eka|Ekajuk
elx|Elamite
eng|English
enm|English, Middle (1100-1500)
epo|Esperanto
est|Estonian
ewe|Ewe
ewo|Ewondo
fan|Fang
fao|Faroese
fat|Fanti
fij|Fijian
fin|Finnish
fiu|Finno-Ugrian (Other)
fon|Fon
fre|French
frm|French, Middle (ca. 1400-1600)
fro|French, Old (ca. 842-1400)
fry|Frisian
ful|Fula
fur|Friulian
gaa|GÒ
gay|Gayo
gba|Gbaya
geo|Georgian
ger|German
gez|Ethiopic
gil|Gilbertese
gla|Scottish Gaelic
gle|Irish
glg|Galician
glv|Manx
gmh|German, Middle High (ca. 1050-1500)
goh|German, Old High (ca. 750-1050)
gon|Gondi
gor|Gorontalo
got|Gothic
grb|Grebo
grc|Greek, Ancient (to 1453)
gre|Greek, Modern (1453- )
grn|Guarani
guj|Gujarati
gwi|Gwich'in
hai|Haida
hau|Hausa
haw|Hawaiian
heb|Hebrew
her|Herero
hil|Hiligaynon
him|Himachali
hin|Hindi
hit|Hittite
hmn|Hmong
hmo|Hiri Motu
hun|Hungarian
hup|Hupa
iba|Iban
ibo|Igbo
ice|Icelandic
ijo|Ijo
iku|Inuktitut
ile|Interlingue
ilo|Iloko
ina|Interlingua (International Auxiliary Language Association)
inc|Indic, Suriname Hindustani (Other)
ind|Indonesian
ine|Indo-European (Other)
ipk|Inupiaq
ira|Iranian (Other)
iro|Iroquoian (Other)
ita|Italian
jav|Javanese
jpn|Japanese
jpr|Judeo-Persian
jrb|Judeo-Arabic
kaa|Kara-Kalpak
kab|Kabyle
kac|Kachin, Achang
kal|KalÔtdlisut
kam|Kamba
kan|Kannada
kar|Karen
kas|Kashmiri
kau|Kanuri
kaw|Kawi
kaz|Kazakh
kha|Khasi
khi|Khoisan (Other)
khm|Khmer
kho|Khotanese
kik|Kikuyu
kin|Kinyarwanda
kir|Kyrgyz
kmb|Kimbundu
kok|Konkani
kom|Komi
kon|Kongo
kor|Korean
kos|Kusaie
kpe|Kpelle
kro|Kru
kru|Kurukh
kua|Kuanyama
kum|Kumyk
kur|Kurdish
kut|Kutenai
lad|Ladino
lah|Lahnda
lam|Lamba
lao|Lao
lat|Latin
lav|Latvian
lez|Lezgian
lin|Lingala
lit|Lithuanian
lol|Mongo-Nkundu
loz|Lozi
ltz|Letzeburgesch
lua|Luba-Lulua
lub|Luba-Katanga
lug|Ganda
lui|Luiseño
lun|Lunda
luo|Luo (Kenya and Tanzania)
lus|Lushai
mac|Macedonian
mad|Madurese
mag|Magahi
mah|Marshallese
mai|Maithili
mak|Makasar
mal|Malayalam
man|Mandingo
mao|Maori
map|Austronesian (Other)
mar|Marathi
mas|Masai
may|Malay
mdr|Mandar
men|Mende
mga|Irish, Middle (ca. 1100-1550)
mic|Micmac
min|Minangkabau
mis|Miscellaneous languages
mkh|Mon-Khmer (Other)
mlg|Malagasy
mlt|Maltese
mnc|Manchu
mni|Manipuri
mno|Manobo languages
moh|Mohawk
mol|Moldavian
mon|Mongolian
mos|Moorú
mul|Multiple languages
mun|Munda (Other)
mus|Creek
mwr|Marwari
myn|Mayan languages
nah|Nahuatl
nai|North American Indian (Other)
nau|Nauru
nav|Navajo
nbl|Ndebele (South Africa)
nde|Ndebele (Zimbabwe)
ndo|Ndonga
nds|Low German
