a|language material|bk_8.fdt
c|notated music|mu_8.fdt
d|manuscript music|mu_8.fdt
e|cartographic material|mp_8.fdt
f|manuscript cartographic material|mp_8.fdt
g|projected medium|vm_8.fdt
i|nonmusical sound recording|mu_8.fdt
j|musical sound recording|mu_8.fdt
k|two-dimensional nonprojectable graphic|vm_8.fdt
m|computer file|cf_8.fdt
o|kit|vm_8.fdt
p|mixed material|vm_8.fdt
r|three-dimensional artifact or naturally occurring object|vm_8.fdt
t|manuscript language material|bk_8.fdt
s|Continous resource (published in successive parts)|se_8.fdt


