an|Anthems
bd|Ballads
bg|Bluegrass Music
bl|Blues
bt|Ballets
ca|Chaconnes
cb|Chants, other religions
cc|Chant, Christian
cg|Concerti grossi
ch|Chorales
cl|Chorale preludes
cn|Canons and Rounds
co|Concertos
cp|Chansons, polyphonic
cr|Carols
cr|Chance compositions
ct|Cantatas
cy|Country music
cz|Canzonas
df|Dance forms
dv|Divertimentos, serenades, cassations, divertissements, notturni
fg|Fugues
fm|Folk music
ft|Fantasias
gm|Gospel music
hy|Hymns
jz|Jazz
mc|Musical Revues and Comedies
md|Madrigals
mi|Minuets
mo|Motets
mp|Motion picture music
mr|Marches
ms|Masses
mu|Multiple forms
mz|Mazurkas
nc|Nocturnes
nn|Not applicable
op|Operas
or|Oratorios
ov|Overtures
pg|Program Music
pm|Passion Music
po|Polonaises
pp|Popular music
pr|Preludes
ps|Passacaglias
pt|Part-Songs
pv|Pavans
rc|Rock music
rd|Rondos
rg|Ragtime music
ri|Ricercars
rp|Rhapsodies
rq|Requiems
sd|Square Dance Music
sg|Songs
sn|Sonatas
sp|Symphonic poems
st|Studies and exercises
su|Suites
sy|Symphonies
tc|Toccatas
ts|Trio-Sonata
uu|Unknown
vr|Variations
wz|Waltzes
zz|Others
  |No attempt to code
