a|Material textual|bk_8.fdt
c|Música impresa|mu_8.fdt
d|Música manuscrita|mu_8.fdt
e|Material cartográfico|mp_8.fdt
f|Material cartográfico manuscrito|mp_8.fdt
g|Material proyectable|vm_8.fdt
i|Registros sonoros no musicales|mu_8.fdt
j|Registros sonoros musicales|mu_8.fdt
k|Gráficos bidimensionales no proyectables|vm_8.fdt
m|Recurso electrónico|cf_8.fdt
o|Kit (dos o mas objetos publicados juntos)|vm_8.fdt
p|Material mixto|vm_8.fdt
r|Objetos tridimensionales, artefactos u objetos naturales|vm_8.fdt
t|Material de texto manuscrito|bk_8.fdt
s|Recurso contínuo (publicado en partes sucesivas)|se_8.fdt
