##|Proyección no especificada
aa|Aitoff
ab|Nomónica
ac|Iso area acimutal de Lambert
ad|Ortográfica
ae|Equidistante acimutal
af|Estereográfica
ag|Perspectiva lateral vertical general
am|Estereográfica modificada para Alaska
an|Trimétrica Chamberlin
ap|Estereográfica polar
au|Acimutal, tipo específico desconocido
az|Acimutal, otro
ba|Gall
bb|Homolográfica de Goode
bc|Iso área cilíndrica de Lambert
bd|Mercator
be|Miller
bf|Mollweide
bg|Sinusoidal
bh|Mercator transversa
bi|Gauss-Kruger
bj|Equirrectangular
bo|Mercator oblicua
br|Robinson
bs|Mercator oblicua espacial
bz|Cilíndrica, otra
ca|Iso área de Alber
cb|Bonne
cc|Cónica conforme de Lambert
ce|Cónica equidistante
cp|Policónica
cu|Cónica, tipo específico desconocido
cz|Cónica, otra
da|Armadillo
db|Mariposa
dc|Eckert
dd|Homolosenoidal de Goode
de|Cónica conforme oblicua bipolar de Miller
df|Van Der Grinten
dg|Dimaxion
dh|Cordiforme
dl|Conforme Lambert
zz|Otro
  |No se provee información
