an|Anthems, Motetes ingleses
bd|Baladas
bg|Bluegrass
bl|Blues
bt|Ballets
ca|Chaconas
cb|Cantos, otras religiones
cc|Canto cristiano
cg|Concerti grossi
ch|Corales
cl|Preludios corales
cn|Canons y rondas
co|Conciertos
cp|Canciones polifónicas
cr|Villancicos
cr|Chanzas
ct|Cantatas
cy|Country
cz|Canzonas
df|Formas de danza
dv|Divertimentos, serenatas, casaciones, nocturnos
fg|Fugas
fm|Folklore
ft|Fantasías
gm|Música evangélica
hy|Himnos
jz|Jazz
mc|Revistas y comedias musicales
md|Madrigales
mi|Minuetos
mo|Motetes
mp|Música de Películas
mr|Marchas
ms|Misas
mu|Formas múltiples
mz|Mazurkas
nc|Nocturnos
nn|No aplicable
op|Operas
or|Oratorios
ov|Oberturas
pg|Música de programas
pm|Música de pasión
po|Polonesas
pp|Música popular
pr|Preludios
ps|Pasacaglias
pt|Canciones a varias voces
pv|Pavanas
rc|Rock
rd|Rondós
rg|Ragtime
ri|Ricercares
rp|Rapsodias
rq|Requiems
sd|Cuadrillas
sg|Canciones
sn|Sonatas
sp|Poemas sinfónicos
st|Estudios y ejercicios
su|Suites
sy|Sinfonías
tc|Tocatas
ts|Trio-Sonata
uu|Desconocido
vr|Variaciones
wz|Valses
zz|Otros
  |No se provee información
