###|Informação não fornecida (###)
zxx|Sem material linguístico (zxx)
mul|Múltiplos idiomas (mul)
sgn|Linguagem de sinais (sgn)
und|Indeterminado (und)
aar|Afar (aar)
abk|Abkhaz (abk)
ace|Achinese (ace)
ach|Acoli (ach)
ada|Adangme (ada)
ady|Adygei (ady)
afa|Afroasiatic (e outros) (afa)
afh|Afrihili (Artificial language) (afh)
afr|Afrikaans (afr)
ain|Ainu (ain)
aka|Akan (aka)
akk|Akkadian (akk)
alb|Albanian (alb)
ale|Aleut (ale)
alg|Algonquian (e outros) (alg)
alt|Altai (alt)
amh|Amharic (amh)
ang|English, Old (ca. 450-1100) (ang)
anp|Angika (anp)
apa|Apache languages (apa)
ara|Arabic (ara)
arc|Aramaic (arc)
arg|Aragonese (arg)
arm|Armenian (arm)
arn|Mapuche (arn)
arp|Arapaho (arp)
art|Artificial (e outros) (art)
arw|Arawak (arw)
asm|Assamese (asm)
ast|Bable (ast)
ath|Athapascan (e outros) (ath)
aus|Australian languages (aus)
ava|Avaric (ava)
ave|Avestan (ave)
awa|Awadhi (awa)
aym|Aymara (aym)
aze|Azerbaijani (aze)
bad|Banda languages (bad)
bai|Bamileke languages (bai)
bak|Bashkir (bak)
bal|Baluchi (bal)
bam|Bambara (bam)
ban|Balinese (ban)
baq|Basco (baq)
bas|Basa (bas)
bat|Baltic (e outros) (bat)
bej|Beja (bej)
bel|Belarusian (bel)
bem|Bemba (bem)
ben|Bengali (ben)
ber|Berber (e outros) (ber)
bho|Bhojpuri (bho)
bih|Bihari (bih)
bik|Bikol (bik)
bin|Edo (bin)
bis|Bislama (bis)
bla|Siksika (bla)
bnt|Bantu (e outros) (bnt)
bos|Bosnian (bos)
bra|Braj (bra)
bre|Breton (bre)
btk|Batak (btk)
bua|Buriat (bua)
bug|Bugis (bug)
bul|Bulgarian (bul)
bur|Burmese (bur)
byn|Bilin (byn)
cad|Caddo (cad)
cai|Central American Indian (e outros) (cai)
car|Carib (car)
cat|CCatalão (cat)
cau|Caucasian (e outros) (cau)
ceb|Cebuano (ceb)
cel|Celtic (e outros) (cel)
cha|Chamorro (cha)
chb|Chibcha (chb)
che|Chechen (che)
chg|Chagatai (chg)
chi|Chinês (chi)
chk|Chuukese (chk)
chm|Mari (chm)
chn|Chinook jargon (chn)
cho|Choctaw (cho)
chp|Chipewyan (chp)
chr|Cherokee (chr)
chu|Church Slavic (chu)
chv|Chuvash (chv)
chy|Cheyenne (chy)
cmc|Chamic languages (cmc)
cop|Coptic (cop)
cor|Cornish (cor)
cos|Corsican (cos)
cpe|Crioules e Pidgins, baseada em Inglês (e outros) (cpe)
cpf|Crioules e Pidgins, baseada em Francês (e outros) (cpf)
cpp|Crioules e Pidgins, baseada em Português (e outros) (cpp)
cre|Cree (cre)
crh|Crimean Tatar (crh)
crp|Crioules e Pidgins (e outros) (crp)
csb|Kashubian (csb)
cus|Cushitic (e outros) (cus)
cze|Czech (cze)
dak|Dakota (dak)
dan|Danish (dan)
dar|Dargwa (dar)
day|Dayak (day)
del|Delaware (del)
den|Slave (den)
dgr|Dogrib (dgr)
din|Dinka (din)
div|Divehi (div)
doi|Dogri (doi)
dra|Dravidian (e outros) (dra)
dsb|Lower Sorbian (dsb)
dua|Duala (dua)
dum|Dutch, Middle (ca. 1050-1350) (dum)
dut|Holandês (dut)
dyu|Dyula (dyu)
dzo|Dzongkha (dzo)
efi|Efik (efi)
egy|Egyptian (egy)
eka|Ekajuk (eka)
elx|Elamite (elx)
eng|Inglês (eng)
enm|Inglês, Middle (1100-1500) (enm)
epo|Esperanto (epo)
est|Estonian (est)
ewe|Ewe (ewe)
ewo|Ewondo (ewo)
fan|Fang (fan)
fao|Faroese (fao)
fat|Fanti (fat)
fij|Fijian (fij)
fil|Filipino (fil)
fin|Finnish (fin)
fiu|Finno-Ugrian (e outros) (fiu)
fon|Fon (fon)
fre|Francês (fre)
frm|French, Middle (ca. 1300-1600) (frm)
fro|French, Old (ca. 842-1300) (fro)
frr|North Frisian (frr)
frs|East Frisian (frs)
fry|Frisian (fry)
ful|Fula (ful)
fur|Friulian (fur)
gaa|Gã (gaa)
gay|Gayo (gay)
gba|Gbaya (gba)
gem|Germanic (e outros) (gem)
geo|Georgian (geo)
ger|Alemão (ger)
gez|Ethiopic (gez)
gil|Gilbertese (gil)
gla|Scottish Gaelic (gla)
gle|Irish (gle)
glg|Galician (glg)
glv|Manx (glv)
