  |Projeção não especificada  
aa|Projeção de Aitoff 
ab|Gnômica 
ac|Azimutal Igual Área de Lambert  
ad|Ortográfica 
ae|Azimutal eqüidistante 
af|Esterográfica 
ag|Geral vertical near-sided  
am|Esterográfica modificada para o Alasca
an|Trimétrica de Chamberlin 
ap|Esterográfica polar  
au|Azimutal, tipo específico desconhecido 
az|Azimutal, outra 
ba|Projeção de Gall  
bb|Homolográfica de Goode 
bc|Igual área cilíndrica de Lambert 
bd|Projeção de Mercator  
be|Projeção segundo Miller  
bf|Projeção de Mollweide  
bg|Sinuosoidal  
bh|Projeção transversal de Mercator  
bi|Projeção de Gauss-Kruger 
bj|Eqüiretangular 
bo|Oblíqua de Mercantor 
br|Projeção de Robinson  
bs|Espaço oblíquo de Mercantor
bu|Cilíndrica, tipo específico desconhecido
bz|Cilíndrica, outra 
ca|Igual Área de Alber 
cb|Projeção de Bonne 
cc|Conformal cônica de Lambert 
ce|Eqüidistante cônica
cp|Policônica
cu|Cônica, Tipo específico desconhecido 
cz|Cônica, outra
da|Armadillo 
db|Butterfly 
dc|Projeção de Eckert 
dd|Projeção homolosine de Goode 
de|Bipolar oblíqua conformal cônica de Miller
df|Projeção Van Der Grinten
dg|Projeção de Dimaxion
dh|Cordiforme 
dl|Lambert conformal 
zz|Outra
  |Não se tentou codificar	
