an|Canção patriótica
bd|Baladas
bg|Música bluegrass 
bl|Blues 
bt|Balé
ca|Chaconnes 
cb|Cantos, Outras religiões
cc|Cantos, Cristãos 
cg|Concerto grosso (Concerti grossi) 
ch|Corais 
cl|Prelúdios corais (Chorale preludes) 
cn|Cânones e rounds 
co|Concertos 
cp|Canções, polifônicas
cr|Canticos de Natal 
cs|Chance Compositions 
ct|Cantatas 
cy|Múica sertaneja (Country music) 
cz|Canzonas 
df|Formas de dança 
dv|Divertimentos, serenatas, etc
fg|Fugas 
fm|Música folclórica 
ft|Fantasias 
gm|Música Gospel
hy|Hinos
jz|Jazz 
mc|Revistas musicais e comédias
md|Madrigais
mi|Minuetos 
mo|Motetos 
mp|Música de filme 
mr|Marchas 
ms|Masses 
mu|Formas múltiplas
mz|Mazurcas 
nc|Noturnos 
nn|Não aplicável 
op|Óperas 
or|Oratórios 
ov|Aberturas 
pg|Program music 
pm|Música de paixão
po|Polonaises 
pp|Música popular
pr|Prelúdios 
ps|Passacaglias 
pt|Part-songs 
pv|Pavanas 
rc|Música Rock 
rd|Rondós 
rg|Música Ragtime 
ri|Ricercars 
rp|Rapsódias
rq|Réquiens 
sg|Canções
sn|Sonatas 
sp|Poemas simfônicos 
sq|Música de dança de roda (square dance music)
st|Estudos e execícios 
su|Suites 
sy|Simfonias 
tc|Tocatas 
ts|Trio-sonatas 
uu|Desconhecida 
vr|Variações
wz|Valsas 
zz|Outra 
  |Não se tentou codificar
