#|Natureza do conteúdo não especificado 
a|Resumos/sumários de outras publicações	
b|Bibliografias 
c|Catálogos
d|Dicionários – glossários
e|Enciclopédias 
f|Manuais 
g|Artigos jurídicos 
i|Índices de outras publicações
j|Documento de Patentes 
k|Discografias 
l|Legislação 
m|Teses 
n|Levantamento da literatura de uma área de estudo	 
o|Revisões/críticas 
p|Textos programados 
q|Filmografiaes 
r|Guias/indicadores  
s|Estatísticas 
t|Relatórios técnicos 
v|Casos jurídicos e notas de casos 
w|Relatórios de legislação e jurisprudências 
z|Tratados 
 |Não se tentou codificar
