3006 3007
BK_a_NL.fmt|a|m|Material textual
VM_g_NL.fmt|g|m|Material projetável
VM_k_NL.fmt|k|m|Material não projetável bidimensional
VM_o_NL.fmt|o|m|Kit (dois ou mais tipos)
MX_p_NL.fmt|p|m|Material misto
VM_r_NL.fmt|r|m|Objeto tridimensional
AM_t_NL.fmt|t|m|Material textual manuscrito
CF_m_NL.fmt|m|m|Arquivo de computador
MP_e_NL.fmt|e|m|Material cartográfico
MP_f_NL.fmt|f|m|Material cartográfico manuscrito
MU_c_NL.fmt|c|m|Música impressa
MU_d_NL.fmt|d|m|Música manuscrita
MU_i_NL.fmt|i|m|Gravação de som não musical
MU_j_NL.fmt|j|m|Gravação de som musical
