act|Actor
adp|Adapter
aft|Author of afterword, colophon, etc.
ann|Annotator
ant|Bibliographic antecedent
app|Applicant
aqt|Author in quotations or text abstracts
arc|Architect
arr|Arranger
art|Artist
asg|Assignee
asn|Associated name
att|Attributed name
auc|Auctioneer
aui|Author of introduction
aus|Author of screenplay, etc.
aut|Author
bdd|Binding designer
bjd|Bookjacket designer
bkd|Book designer
bkp|Book producer
bnd|Binder
bpd|Bookplate designer
bsl|Bookseller
ccp|Conceptor
chr|Choreographer
clb|Collaborator
cli|Client
cll|Calligrapher
clt|Collotyper
cmm|Commentator
cmp|Composer
cmt|Compositor
cnd|Conductor
cns|Censor
coe|Contestant-appellee
col|Collector
com|Compiler
cos|Contestant
cot|Contestant-appellant
cpc|Copyright claimant
cpe|Complainant-appellee
cph|Copyright holder
cpl|Complainant
cpt|Complainant-appellant
cre|Creator
crp|Correspondent
crr|Corrector
csl|Consultant
cst|Costume designer
ctb|Contributor
cte|Contestee-appellee
ctg|Cartographer
ctr|Contractor
cts|Contestee
cur|Curator
dfd|Defendant
dfe|Defendant-appellee
dft|Defendant-appellant
dis|Dissertant
dln|Delineator
dnc|Dancer
dnr|Donor
dpt|Depositor
drm|Draftsman
drt|Director
dsr|Designer
dst|Distributor
dte|Dedicatee
dto|Dedicator
dub|Dubious author
edt|Editor
egr|Engraver
elt|Electrotyper
eng|Engineer
etr|Etcher
exp|Expert
fac|Facsimilist
flm|Film editor
fmo|Former owner
fnd|Funder
frg|Forger
grt|Graphic technician
hnr|Honoree
hst|Host
ill|Illustrator
ilu|Illuminator
ins|Inscriber
inv|Inventor
itr|Instrumentalist
ive|Interviewee
ivr|Interviewer
lbt|Librettist
lee|Libelee-appellee
lel|Libelee
len|Lender
let|Libelee-appellant
lie|Libelant-appellee
lil|Libelant
lit|Libelant-appellant
lsa|Landscape architect
lse|Licensee
lso|Licensor
ltg|Lithographer
lyr|Lyricist
mdc|Metadata contact
mod|Moderator
mon|Monitor
mte|Metal-engraver
mus|Musician
nrt|Narrator
org|Originator
oth|Other
own|Owner
pat|Patron
pbd|Publishing director
pbl|Publisher
pfr|Proofreader
pht|Photographer
plt|Platemaker
pop|Printer of plates
ppm|Papermaker
prc|Process contact
prd|Production personnel
prf|Performer
prg|Programmer
pro|Producer
prt|Printer
pte|Plaintiff-appellee
ptf|Plaintiff
pth|Patent holder
ptt|Plaintiff-appellant
rbr|Rubricator
rce|Recording engineer
rcp|Recipient
red|Redactor
ren|Renderer
rev|Reviewer
rse|Respondent-appellee
rsp|Respondent
rst|Respondent-appellant
sad|Scientific advisor
sce|Scenarist
scl|Sculptor
scr|Scribe
sec|Secretary
sgn|Signer
sng|Singer
spk|Speaker
spn|Sponsor
srv|Surveyor
str|Stereotyper
ths|Thesis advisor
trc|Transcriber
trl|Translator
tyd|Type designer
tyg|Typographer
voc|Vocalist
wam|Writer of accompanying material
wde|Wood-engraver, woodcutter
wit|Witness
