##|Projection not specified
aa|Aitoff
ab|Gnomic
ac|Lambert's azimuthal equal area
ad|Orthographic
ae|Azimuthal equidistant
af|Stereographic
ag|General vertical near-sided
am|Modified stereographic for Alaska
an|Chamberlin trimetric
ap|Polar stereographic
au|Azimuthal, specific type unknown
az|Azimuthal, other
ba|Gall
bb|Goode's homolographic
bc|Lambert's cylindrical equal area
bd|Mercator
be|Miller
bf|Mollweide
bg|Sinusoidal
bh|Transverse Mercator
bi|Gauss-Kruger
bj|Equirectangular
bo|Oblique Mercator
br|Robinson
bs|Space oblique Mercator
bz|Cylindrical, other
ca|Alber's equal area
cb|Bonne
cc|Lambert's conformal conic
ce|Equidistant conic
cp|Polyconic
cu|Conic, specific type unknown
cz|Conic, other
da|Armadillo
db|Butterfly
dc|Eckert
dd|Goode's holosine
de|Miller's bipolar oblique conformal conic
df|Van Der Grinten
dg|Dimaxion
dh|Cordiform
dl|Lambert conformal
zz|Other
  |No attempt to code
