aar|Afar
abk|Abkhazian
ace|Achinese
ach|Acoli
ada|Adangme
afa|Afroasiático, Mada (Camerún), Tupuri (Otros)
afh|Afrihili (Lenguaje artificial)
afr|Africano
aka|Akan
akk|Akkadian
alb|Albanés
ale|Aleut
alg|Algonquian (Otros)
amh|Amhárico
ang|Inglés antiguo (ca. 450-1100)
apa|Lenguas Apache
ara|Arabe
arc|Arameo
arm|Armenio
arn|Mapuche
arp|Arapaho
art|Artificial (Otra)
arw|Arawak
asm|Assamés
ath|Athapascan (Otro)
aus|Lenguas australianas, Kitja
ava|Avar
ave|Avestan
awa|Awadhi
aym|Aymará
aze|Azerbaijani
bad|Banda
bai|Lenguas Bamileke
bak|Bashkir
bal|Baluchi
bam|Bambara
ban|Balinés
baq|Vascuence
bas|Basa
bat|Baltico (Otro)
bej|Beja
bel|Bielorruso
bem|Bemba
ben|Bengalí
ber|Bereber, berberisco (Otro)
bho|Bhojpuri
bih|Bihari
bik|Bikol
bin|Bini
bis|Bislama
bla|Siksika
bnt|Bantu (Otro)
bos|Bosnio
bra|Braj
bre|Bretón
btk|Batak
bua|Buriat
bug|Bugis
bul|Búlgaro
bur|Birmano
cad|Caddo
cai|Indígenas de América Central, Amuzgo (Otro)
car|Caribe
cat|Catalán
cau|Cáucaso, Dido (Otro)
ceb|Cebuano
cel|Céltico (Otro)
cha|Chamorro
chb|Chibcha
che|Chechén
chg|Chagatai
chi|Chino
chk|Truk
chm|Mari
chn|Chinook jargon
cho|Choctaw
chp|Chipewyan
chr|Cherokee
chu|Eslavo litúrgico, viejo eslavo
chv|Chuvash
chy|Cheyenne
cmc|Lenguas Chamic
cop|Cóptico
cor|Córnico
cos|Corso
cpe|Criollos y Pidgins, Inglés básico (Otro)
cpf|Criollos y Pidgins, Micif, Francés básico (Otro)
cpp|Criollos y Pidgins, Portugués básico (Otro)
cre|Cree
crp|Criollos y Pidgins (Otro)
cus|Cushitic (Otro)
cze|Checo
dak|Dakota
dan|Danés
day|Dayak
del|Delaware
den|Eslavo
dgr|Dogrib
din|Dinka
div|Divehi
doi|Dogri
dra|Dravidiano (Otro)
dua|Duala
dum|Holandés medieval (ca. 1050-1350)
dut|Holandés
dyu|Dyula
dzo|Dzongkha
efi|Efik
egy|Egipcio
eka|Ekajuk
elx|Elamite
eng|Inglés
enm|Inglés medieval (1100-1500)
epo|Esperanto
est|Estonio
ewe|Ewe
ewo|Ewondo
fan|Fang
fao|Faroés
fat|Fanti
fij|Fijiano
fin|Finés o finlandés
fiu|Fino ugriano (Otro)
fon|Fon
fre|Francés
frm|Francés medieval (ca. 1400-1600)
fro|Francés antiguo (ca. 842-1400)
fry|Frisiano o frisón
ful|Fulani, Peul, Fulfulde
fur|Friuliano
gaa|GÒ
gay|Gayo
gba|Gbaya
geo|Georgiano
ger|Alemán
gez|Etíope
gil|Gilbertese
gla|Gaélico escocés
gle|Irish
glg|Gallego
glv|Manx o manés
gmh|Alemán medieval (ca. 1050-1500)
goh|Alemán antiguo (ca. 750-1050)
gon|Gondi
gor|Gorontalo
got|Gótico
grb|Grebo
grc|Griego antiguo (hasta 1453)
gre|Griego moderno (desde 1453- )
grn|Guaraní
guj|Gujarati
gwi|Gwich'in
hai|Haida
hau|Hausa
haw|Hawaiano
heb|Hebreo
her|Herero
hil|Hiligaynon  o Ilonggo
him|Himachali
hin|Hindi
hit|Hitita
hmn|Hmong
hmo|Hiri Motu
hun|Húngaro
hup|Hupa
iba|Iban
ibo|Igbo
ice|Islandés
ijo|Ijo o ijaw
iku|Inuktitut
ile|Interlingue
ilo|Iloko
ina|Interlingua (Asociación para un Lenguaje Auxiliar Internacional)
inc|Indico, Hindustani de Surinam (Otro)
ind|Indonesio
ine|Indo Europeo (Otro)
ipk|Inupiak o inuit
ira|Iraní (Otro)
iro|Iroquoian (Otro)
ita|Italiano
jav|Javanés
jpn|Japonés
jpr|Judeo persa
jrb|Judeo árabe
kaa|Kara-Kalpak
kab|Kabyle
kac|Kachin, Achang
kal|KalÔtdlisut
kam|Kamba
kan|Kannada
kar|Karen
kas|Cachemiro
kau|Kanuri
kaw|Kawi
kaz|Kazakh
kha|Khasi
khi|Khoisan (Otro)
khm|Khmer
kho|Khotanés
kik|Kikuyu
kin|Kinyarwanda
kir|Kyrgyz
kmb|Kimbundu
kok|Konkani
kom|Komi
kon|Kongo, Congo
kor|Coreano
kos|Kusaie
kpe|Kpelle
kro|Kru
kru|Kurukh
kua|Kuanyama
kum|Kumyk
kur|Kurdo, Curdo
kut|Kutenai
lad|Ladino
lah|Lahnda
lam|Lamba
lao|Laosiano
lat|Latín
lav|Letón
lez|Lezgian
lin|Lingala
lit|Lituano
lol|Mongo-Nkundu
loz|Lozi
ltz|Luxemburgués
lua|Luba-Lulua
lub|Luba-Katanga
lug|Ganda, Luganda
lui|Luiseño
lun|Lunda
luo|Luo (Kenia y Tanzania)
lus|Lushai
mac|Macedonio
mad|Madurés
mag|Magahi
mah|Marshallés
mai|Maithili
mak|Makasar
mal|Malayalam
man|Mandingo
mao|Maorí
map|Malayo polinesio (Otro)
mar|Maratí
mas|Masái
may|Malayo
mdr|Mandarés
men|Mende
mga|Irish medieval (ca. 1100-1550)
mic|Micmac
min|Minangkabau
mis|Lenguas misceláneas
mkh|Mon-Khmer (Otro)
mlg|Malgache
mlt|Maltés
mnc|Manchu
mni|Manipuri
mno|Lenguas manobo
moh|Mohaqués
mol|Moldavo
mon|Mongol
mos|Moorú
mul|Multilingüe
mun|Munda (Otro)
mus|Muskoguí
mwr|Marwari
myn|Lenguas mayas
nah|Nahuatl
nai|Indígenas de América del Norte (Otro)
nau|Nauru
nav|Navajo
nbl|Ndebele (Sudáfrica)
nde|Ndebele (Zimbabwe)
ndo|Ndonga
nds|Bajo alemán
nep|Nepalí
new|Nevarí
nia|Nias
nic|Niger-Kordofanian, Bafut, Kagoro, Ligbi, Noon (Otro)
niu|Niuean
non|Norse antiguo
nor|Noruego
nso|Sotho del norte
nub|Nubio, Midob
nya|Nyanja
nym|Nyamwezi
nyn|Nyankole
nyo|Nyoro
nzi|Nzima
oci|Occitan (a partir de 1500)
oji|Ojibwa
ori|Oriya
orm|Oromo
osa|Osage
oss|Ossetic
ota|Turco, Otomano
oto|Lenguas otomí
paa|Papua australiano (Otro)
pag|Pangasinán
pal|Pahlavi
pam|Pampanga
pan|Panjabi, punjabi o penjabi
pap|Papiamento
pau|Palauano
