#|Nature du contenu non spécifiée
a|Analyses/résumés
b|Bibliographies 
c|Catalogues 
d|Dictionnaires - Glossaires
e|Encyclopedies 
f|Manuels
g|Articles juridiques
i|Index
j|Brevets et documents connexes 
k|Discographies 
l|Législation 
m|Thèses 
n|Études de la littérature sur un sujet
o|Comptes rendus critiques
p|Textes programmés 
q|Filmographies 
r|Répertoires 
s|Statistiquess 
t|Rapport techniques
u|Normes/spécifications
v|Causes juridiques, notes de causes
w|Recueils de jurisprudence, lois et compilations
z|Traités 
 |Aucune tentative de coder
