a|Document textuel|bk_8.fdt  
c|Notation musicale|mu_8.fdt 
d|Notation musicale manuscrite|mu_8.fdt 
e|Document cartographique|mp_8.fdt   
f|Document cartographique manuscrit|mp_8.fdt  
g|Matériel visionné par projection|vm_8.fdt 
i|Enregistrement sonore non musical|mu_8.fdt   
j|Enregistrement sonore musical|mu_8.fdt 
k|Document iconique en deux dimensions non projeté|vm_8.fdt
m|Fichier d'ordinateur|cf_8.fdt 
o|Ensemble multi-supports|vm_8.fdt
p|Documents de genres multiples|vm_8.fdt
r|Artefact en trois-dimensions ou objet naturel|vm_8.fdt 
t|Document textuel manuscrit|bk_8.fdt 
s|Publication en série|se_8.fdt
