aperture card|aperture card
audio cartridge|audio cartridge
audio cylinder|audio cylinder
audio disc|audio disc
audio roll|audio roll
audiocassette|audiocassette
audiotape reel|audiotape reel
card|card
computer card|computer card
computer chip cartridge|computer chip cartridge
computer disc|computer disc
computer disc cartridge|computer disc cartridge
computer tape cartridge|computer tape cartridge
computer tape cassette|computer tape cassette
computer tape reel|computer tape reel
film cartridge|film cartridge
film casssette|film cassette
film reel|film reel
film roll|film roll
filmchart|filmchart
filmslip|filmslip
filmstrip|filmstrip
filmstrip cassette|filmstrip cassette
microfiche|microfiche
microfiche cassette|microfiche cassette
microfilm reel|microfilm reel
microfilm roll|microfilm roll
microfilm slip|microfilm slip
microopaque|microopaque
microscope slide|microscop slide
object|object
online resource|online resource
overhead transparency|overhead transparency
roll|roll
sheet|sheet
slide|slide
sound track reel|sound track reel
stereograph card|stereograph card
stereograph disc|stereograph disc
video cartridge|video cartridge
video cassette|video cassette
videodisc|videodisc
videotape reel|videotape reel
volume|volume
other|other
unspecified|unspecified
