##|Aucune mention de projection sur la carte
aa|D'Aitoff
ab|Gnomonique
ac|Azimutale équivalente de Lambert
ad|Orthographique
ae|Azimutale équidistante
af|Stéréographique
ag|Générale verticale à l'amont
am|Stéréographique modifiée pour l'Alaska
an|Trimétrique conforme de Chamberlin
ap|Stéréographique polaire
au|Azimutale (de type inconnu)
az|Azimutale (d'un autre type)
ba|De Gall
bb|Homolographique de Goode
bc|Cylindrique équivalente de Lambert
bd|De Mercator
be|Cylindrique de Miller
bf|De Mollweide
bg|Sinusoïdale
bh|Transverse de Mercator
bi|De Gauss-Kruger
bj|Équirectangulaire
b- Oblique de Mercator
br|De Robinson
bs|Oblique spatiale de Mercator
bu|Cylindrique (de type inconnu)
bz|Cylindrique (d'un autre type)
ca|Équivalente d'Alber
cb|De Bonne
cc|Conique conforme de Lambert
ce|Conique équidistante
cp|Polyconique
cu|Conique (de type inconnu)
cz|Conique (d'un autre type)
da|D'armadillo
db|Étoilée
dc|D'Eckert
dd|Homolosine de Goode
de|Oblique bipolaire conique conforme de Miller
df|De Van der Grinten
dg|De Dymaxion
dh|Cordiforme
dl|Conique conforme de Lambert
zz|Autre
  |Aucune tentative de coder
