an|Anthems
bd|Ballades
bg|Musique bluegrass
bl|Blues
bt|Ballets
ca|Chaconnes
cb|Chants autres que chrétiens
cc|Chant chrétiens
cg|Concerti grossi
ch|Chorales
cl|Préludes de chorals
cn|Canons et « rounds »
c- Concertos
cp|Polyphonies françaises
cr|Noëls
cs|Hasards dirigés (musique)
ct|Cantates
cy|Musique country
cz|Canzone
df|Danses
fg|Fugues
fm|Musique folklorique
ft|Fantaisies
gm|Musique gospel
hy|Hymnes et chants liturgiques
jz|Jazz
mc|Revues et comédies musicales
md|Madrigaux
mi|Menuets
m- Motets
mp|Musique de film
mr|Marches
ms|Messes
mu|Formes multiples
mz|Mazurkas
nc|Nocturnes
nn|Sans objet
op|Opéras
or|Oratorios
ov|Ouvertures (Orchestre)
pg|Musique à programme
pm|Musique de la Passion
p- Polonaises
pp|Musique populaire
pr|Préludes
ps|Passacailles
pt|Chant polyphoniques
pv|Pavanes
rc|Musique rock
rd|Rondos
rg|Ragtime
ri|Ricercari
rp|Rhapsodies
rq|Requiems
sd|Musique de danse carrée
sg|Chansons
sn|Sonates
sp|Poèmes symphoniques
st|Études et exercices
su|Suites
sy|Symphonies
tc|Toccatas
ts|Sonates en trio
uu|Inconnu
vr|Variations
wz|Valses
zz|Autre
 |Aucune tentative de coder
