a|Material  de linguagem (textual)|bk_8.fdt 
c|Música notada Impressa|mu_8.fdt
d|Música notada manuscrita|mu_8.fdt
e|Material cartogáfico|mp_8.fdt  
f|Material cartográfico manuscrito|mp_8.fdt 
g|Material projetável|vm_8.fdt
i|Gravação sonora não musical|mu_8.fdt 
j|Gravação sonora musical|mu_8.fdt 
k|Gráfico não projetável bidimensional|vm_8.fdt
m|Recurso eletrônico|cf_8.fdt
o|Kit (dois ou mais tipos publicados juntos)|vm_8.fdt
p|Material misto|vm_8.fdt 
r|Artefato tridimensional ou objeto natural|vm_8.fdt
t|Material de linguagem (textual) manuscrito|bk_8.fdt 
s|Recurso contínuo (publicado em partes sucessivas)|se_8.fdt
