ccartographic dataset|conjunto de dados artográficos
cartographic image|imagem cartográfica
cartographic moving image|imagem cartográfica em movimento
cartographic tactile image|imagem cartográfica tátil
cartographic tactile three-dimensional form|forma tridimensional tátil cartográfica
cartographic three-dimensional form|forma tridimensional cartográfica
computer dataset|conjunto de dados do computador
notated movement|movimento notado
notated music|música notada
performed music|música executada
sounds|sons
spoken word|palavra falada
still image|imagem estática
tactile image|imagem tátil
tactile notated music|música táctil notada
tactile notated movement|movimentos tácteis notáveis
tactile text|texto tátil
tactile three-dimensional form|forma tridimensional tátil
text|texto
three-dimensional form|forma tridimensional
three-dimensional moving image|imagem tridimensional em movimento
two-dimensional moving image|imagem bidimensional em movimento
other|outros
unspecified|não especificado
