act|Actor
adp|Adaptador
aft|Autor del postfacio, colofón
ann|Anotador
ant|Antecedente bibliográfico
app|Aspirante
aqt|Autor de citas o resúmenes
arc|Arquitecto
arr|Arranjador
art|Artista
asg|Apoderado
asn|Nombre asociado
att|Nombre atribuído
auc|Subastador
aui|Autor de la introducción
aus|Autor de la animación de pantalla, etc.
aut|Autor
bdd|Diseñador de encuadernación
bjd|Diseñador de la cubierta del libro
bkd|Diseñador del libro
bkp|Productor del libro
bnd|Encuadernador
bpd|Diseñador del ex libris
bsl|Librero
ccp|Autor intelectual
chr|Coreógrafo
clb|Colaborador
cli|Cliente
cll|Calígrafo
clt|Clotipiador
cmm|Comentador
cmp|Compositor
cmt|Componedor
cnd|Conductor
cns|Censor
coe|Demandante-apelado
col|Coleccionista
com|Compilador
cos|Demandante
cot|Demandante-apelante
cpc|Demandante del copyright
cpe|Querellante-apelado
cph|Titular del copyright
cpl|Querellante
cpt|Querellante-apelante
cre|Creador
crp|Correspondiente
crr|Corrector
csl|Consultor
cst|Diseñador de trajes, vestuario
ctb|Contribuyente
cte|Contendido-apelado
ctg|Cartógrafo
ctr|Contratista
cts|Contestado
cur|Curador
dfd|Defensor
dfe|Defensor-apelado
dft|Defensor-apelante
dis|Disertante
dln|Delineador, dibujante
dnc|Bailarín
dnr|Donante
dpt|Depositante
drm|Dibujante
drt|Director
dsr|Diseñador
dst|Distribuidor
dte|Dedicado
dto|Dedicador
dub|Autor dudoso
edt|Editor
egr|Grabador
elt|Electrotipeador
eng|Ingeniero
etr|Grabador al agua fuerte
exp|Experto
fac|Facsimilador
flm|Editor de la película
fmo|Propietario anterior
fnd|Fundador
frg|Forjador
grt|Técnico gráfico
hnr|Honrado
hst|Anfitrión
ill|Ilustrador
ilu|Iluminador
ins|Rotulador
inv|Inventor
itr|Instrumentalista
ive|Entrevistado
ivr|Entrevistador
lbt|Libretista
lee|Difamado-apelado
lel|Difamado
len|Prestador
let|Difamado-apelante
lie|Difamador-apelado
lil|Difamador
lit|Difamador-apelante
lsa|Arquitecto del paisaje
lse|Beneficiario de la licencia
lso|Otorgador de licencia
ltg|Litógrafo
lyr|Autor de la letra de una canción
mdc|Contacto de metadatos
mod|Moderador
mon|Monitor
mte|Grabador de metales
mus|Músico
nrt|Narrador
org|Creador
oth|Otro
own|Propietario
pat|Patrón
pbd|Director de publicación
pbl|Publicador
pfr|Corrector de prueba
pht|Fotógrafo
plt|Productor de planchas
pop|Impresor de planchas
ppm|Fabricante de papel
prc|Contacto de proceso
prd|Personal de producción
prf|Ejecutante
prg|Programador
pro|Productor
prt|Impresor
pte|Demandante-apelado
ptf|Demandante
pth|Titular de la patente
ptt|Demandante-apelante
rbr|Rubricador
rce|Ingeniero de grabación
rcp|Destinatario
red|Redactor
ren|Dibujante del rendering
rev|Revisor
rse|Demandado-apelado
rsp|Demandado
rst|Demandado-apelante
sad|Consultor científico
sce|Animador de pantalla
scl|Escultor
scr|Escriba
sec|Secretaria
sgn|Firmante
sng|Cantante
spk|Orador
spn|Sponsor
srv|Agrimensor
str|Estereotipador
ths|Consultor de tesis
trc|Transcriptor
trl|Traductor
tyd|Diseñador de tipos de letras
tyg|Tipógrafo
voc|Vocalista
wam|Escritor del material acompañante
wde|Grabador de madera, cortador de madera
wit|Testigo
