a|currently published continuing resource
b|continuing resource no longer being published
c|continuing resource of unknown status
d|monograph complete when issued, or issued within one calendar year
e|reproduction of a document
f|monograph, date of publication uncertain.
g|monograph whose publication continues for more than a year
h|monograph with both actual and copyright/privilege date
i|monograph with both release/issue date and production date
j|document with detailed date of publication
k|monograph published in a certain year and printed in a different year
u|date(s) of publication unknown
