a|language materials, except manuscript|100.fdt
b|language materials, manuscript|100.fdt
c|notated music, except manuscript|100.fdt
d|notated music, manuscript|100.fdt
e|cartographic materials, except manuscript|100.fdt
f|cartographic materials, manuscript|100.fdt
g|projected and video material (motion pictures, filmstrips, slides, transparencies, video recordings)|100.fdt
i|sound recordings, non-musical|100.fdt
j|sound recordings, musical|100.fdt
k|two-dimensional graphics (pictures, designs etc.)|100.fdt
l|electronic resource|100.fdt
m|multimedia|100.fdt
r|three-dimensional artefacts and realia|100.fdt
