|Accessoiriste ==> EMPLOYER : Membre de l’équipe de production (633)
005|Acteur
010|Adaptateur
390|Ancien possesseur
020|Annotateur
100|Antécédent bibliographique
360|Aquafortiste
030|Arrangeur
202|Artiste de cirque
|Artiste de mime ==> EMPLOYER : Mime (535)
040|Artiste
070|Auteur
018|Auteur de l’animation
450|Auteur de l’envoi
|Auteur de l’hommage ==> EMPLOYER : Auteur de l’envoi (450)
|Auteur de l’interview ==> EMPLOYER : Intervieweur (470)
075|Auteur de la postface, du colophon, etc.
|Auteur de la préface, etc. ==> EMPLOYER : Préfacier, etc. (080)
|Auteur de la recension ==> EMPLOYER : Critique (675)
|Auteur de la réduction musicale ==> EMPLOYER : Arrangeur (030)
072|Auteur des citations ou des fragments textuels
|Auteur des dialogues ==> EMPLOYER : Dialoguiste (090)
|Auteur des lyrics ==> EMPLOYER : Parolier (520)
212|Auteur du commentaire
|Auteur du compliment ==> EMPLOYER : Auteur de l’envoi (450)
|Auteur du compte rendu ==> EMPLOYER : Secrétaire (710)
|Auteur du livret d’un opéra, d’une comédie musicale ou d’un ballet ==> EMPLOYER : Librettiste (480)
770|Auteur du matériel d’accompagnement
|Auteur du scénario ==> EMPLOYER : Scénariste (690)
330|Auteur présumé
570|Autre
|[400 Bailleur de fonds] code obsolète ==> EMPLOYER : Parraineur (723)
|Basse continue, réalisation de la ==> EMPLOYER : Arrangeur (030)
|Bois, graveur sur ==>EMPLOYER : Graveur sur bois (760)
|Brevet, demandeur de ==> EMPLOYER : Demandeur de brevet (582)
|Brevet, inventeur de ==> EMPLOYER : Inventeur de brevet (584)
|Brevet, titulaire de ==> EMPLOYER : Titulaire de brevet (587)
170|Calligraphe
305|Candidat
|Caractères, concepteur des ==> EMPLOYER : Concepteur de caractères (740)
180|Cartographe
|Cartooniste ==> EMPLOYER : Artiste (040)
726|Cascadeur
190|Censeur
721|Chanteur
|Chef costumier ==> EMPLOYER : Membre de l’équipe de production (633)
250|Chef d’orchestre
195|Chef de choeur
|Chef éclairagiste ==> EMPLOYER : Membre de l’équipe de production (633)
|Chef maquilleur == > EMPLOYER : Membre de l’équipe de production (633)
|Chef monteur ==> EMPLOYER : Monteur (370)
200|Chorégraphe
|Coauteur ==> EMPLOYER Auteur (070)
205|Collaborateur
|Collection, directeur de == > EMPLOYER : Directeur de publication (651)
475|Collectivité éditrice
|Coloriste == > EMPLOYER : Technicien graphique (410)
|Comique == > EMPLOYER : Humoriste (207)
210|Commentateur
273|Commissaire d’exposition
065|Commissaire-priseur
220|Compilateur
|Compliment, auteur du ==> EMPLOYER : Auteur de l’envoi (450)
240|Compositeur d’imprimerie
230|Compositeur
500|Concédant de licence
740|Concepteur de caractères
150|Concepteur de l’ex-libris
140|Concepteur de la jaquette
|Concepteur de la maquette ==> EMPLOYER : Maquettiste (130)
|Concepteur de la reliure ==> EMPLOYER : Maquettiste de la reliure (120)
|Concepteur des éclairages ==> EMPLOYER : Membre de l’équipe de production (633)
|Concepteur des masques ==> EMPLOYER : Membre de l’équipe de production (633)
245|Concepteur
695|Conseiller scientifique
255|Consultant de projet
257|Continuateur
|Contrefacteur ==> EMPLOYER : Faussaire (380)
700|Copiste
640|Correcteur sur épreuves
270|Correcteur
|Costumier ==> EMPLOYER : Membre de l’équipe de production (633)
|Créateur de slogan ==> EMPLOYER : Concepteur (245)
|Créateur des effets sonores ==> EMPLOYER : Membre de l’équipe de production (633)
|Créateur des effets spéciaux == > EMPLOYER : Membre de l’équipe de production (633)
|Critique ==> EMPLOYER : Responsable du compte-rendu critique (675)
275|Danseur
|Décorateur ==> EMPLOYER : Directeur artistique (632)
280|Dédicataire
290|Dédicateur
582|Demandeur de brevet
660|Destinataire de lettres
050|Détenteur de l’autorisation d’imprimer ou de publier
490|Détenteur de licence
260|Détenteur du copyright
090|Dialoguiste
|Diffuseur ==> EMPLOYER : Distributeur (310)
