a|ressource continue en cours
b|ressource continue morte
c|ressource continue dont l’état est inconnu
d|monographie complète à la publication ou publiée dans une année civile
e|reproduction
f|monographie dont la date de publication est incertaine
g|monographie dont la publication s’étend sur plus d’une année
h|monographie ayant à la fois une date de publication et une date de copyright ou de
i|monographie ayant à la fois une date d’édition ou de diffusion et une date de production
j|monographie ayant une date de publication précise
u|date(s) de publication inconnue(s)
