annamarc|ANNAMARC. (Rome: Istituto Centrale per il Catalogo Unico delle Biblioteche Italiano e per le Informazioni Bibliografiche)
ausmarc|AUSMARC Bibliographic Format. (Canberra: National Library of Australia)
calco|Formato CALCO : Monografias e Publicaçoes Seriadas. (Brasília: Ministério da Educaçao e Cultura)
canmarc|Canadian MARC Communication Format : Bibliographic Data. (Ottawa: Canadian MARC Office)
catmarc|Manual del CATMARC. (Barcelona: Generalitat de Catalunya Departament de Cultura)
catmarc/1987|Manual del CATMARC. (Barcelona: Institut Català de Bibliografa)
ccf|CCF: the common communication format. (Paris: Unesco) http://unesdoc.unesco.org/images/0009/000924/092449eb.pdf
cnmarc|Zhong guo ji du mu lu ke shi shi yong shou ze = China MARC format manual (Pékin : Hua yi chu ban she)
comarc|COMARC/B format (Maribor : IZUM)
danmarc|DanMARC: edb-format til lagring og udveksling af bibliografiske data i maskinl‘sbar form. (Ballerup : Bibliotekscentralens Forlag)
finmarc|FINMARC-yhtenäisformaatin sovellusohje. (Helsinki : Helsingin yliopiston kirjasto, Tieteellisten kirjastojen atk-uksikkö)
ibermarc|IBERMARC : Formato Para Monografías. (Madrid : Comisaría Nacional de Bibliotecas)
intermrc|INTERMARC(B) : format bibliographique. (Paris : Bibliothèque nationale de France) http://www.bnf.fr/pages/infopro/produits/pb-INTERMARC_B_pres.htm#presentation
jpnmarc|Japan/MARC Manyuaru = Japan/MARC Manual. (Tokyo : Kokuritsu Kokkai Toshokan)
mab|Maschinelles Austauschformat für Bibliotheken. (Frankfurt am Main : Die Deutsche Bibliothek)
marc21|MARC 21 format for bibliographic data. (Washington, D.C.: Library of Congress) http://www.loc.gov/marc/
normarc|NORMARC : veiledning i MARC-katalogisering og kort oversikt over arbeidsrutiner. (Oslo : Universitetsbiblioteket i Oslo)
pica|PICA+ format. (La Haye : Pica-Bureau)
rusmarc|Rossiyskyi Kommunikativnyi Format Predstavleniia Bibliograficheskikh Zapisei v Mashinochitaemoi Forme : Rossiyskaia versiia UNIMARC; Knigi i Serial'nye Izdaniia. (Moscou : Ministerstvo Kultury Rossiyskoy Federatsii. Rossiyskaia Bibliotechnaia Assotsiatsiia)
samarc|SAMARC Manual. (Pretoria: State Library)
swemarc|SWEMARC : the Swedish National Bibliography in machine-readable form : format specifications. (Stockholm : Kunglige biblioteket)
ukmarc|UKMARC Manual (Wetherby : British Library)
unimarc|UNIMARC Manual. (Lisbonne : Permanent UNIMARC Committee)
unimch|Chinese MARC Format. (Taipei : National Central Library)
unimci|Priruiènik za UNIMARC. (Zagreb : Nacionalna i sveuièiliišna knjižnica)
unimcz|UNIMARC manuál. (Prague : Národní knihivna Èeské republiky)
unimes|UNIMARC : [implémentation espagnole]
unimfr|Manuel UNIMARC : version française. (Paris : Comité français UNIMARC) http://cfu.enssib.fr/
unimgw|UNIMARC : [implémentation allemande]
unimrur|Rukovodstvo po UNIMARC = UNIMARC Manual. (Moscow: Gosudarstvennaia Publichnaia Nauchno-Tekhnicheskaia Biblioteka Rossiia)
unimrus|VOIR : rusmarc
unimsi|UNIMARC : [implémentation slovène]
usmarc|USMARC Bibliographic Format. (Washington, D.C. : Library of Congress)
