AACR2|Anglo-American cataloguing rules
AFNOR|Normes de catalogage
amim|Archival moving image materials
appm|Archives, personal papers, and manuscripts
bdrb|Bibliographic description of rare books
bm|British Museum cataloguing rules
DKR|Katalogiseringsregler for danske biblioteker og bibliografier
gihc|Graphic materials
hmstcn|Handleiding voor de medewerkers aan de STCN
KRS|Katalogiseringsregler för svenska bibliotek
NCRT|Nippon cataloguing rules
PPIAK|Pravilnik i priruènik za izradbu abecednih kataloga
psbo|Rules of Composition of Bibliographic Description
RAK|Regeln für die Alphabetische Katalogisierung (RAK)
RAK-WB|Regeln für die Alphabetische Katalogisierung an wissenschaftlichen Bibliotheken (RAK-WB)
RCAA2|Règles de catalogage anglo-américaines
RCR|Russian Cataloguing Rules
RICA|Regole italiane di catalogazione per autori
