01|ISO 646, version IRV (caractères latins de base)
02|Registre ISO #37 (caractères cyrilliques de base)
03|ISO 5426 (caractères latins – jeu étendu)
04|ISO 5427 (caractères cyrilliques – jeu étendu)
05|ISO 5428 (caractères grecs)
06|ISO 6438 (caractères africains codés)
07|ISO 10586 (caractères géorgiens)
08|ISO 8957 (caractères hébreux) Table 1
09|ISO 8957 (caractères hébreux) Table 2
10|[Réservé]
11|ISO 5426-2 (caractères latins utilisés dans les langues européennes minoritaires et dans une typographie obsolète)
50|ISO 10646 Niveau 3 (Unicode, UTF-8)
