###|(Aucune indication fournie) 
aar|afar
abk|abkhaze
ace|aceh
ach|acoli
ada|adangme
ady|adyghé
afa|afro-asiatique, langue (autre)
afh|afrihili
afr|afrikaans
ain|aïnou
[ajm]|alijamia
aka|akan
akk|akkadien
alb|albanais
ale|aléoute
alg|algonquiennes, langues
alt|altaï du Sud
amh|amharique
ang|anglo-saxon (ca. 450-1100)
anp|angika
apa|apaches, langues
ara|arabe
arc|araméen
arg|aragonais (dialecte)
arm|arménien
arn|araucan
arp|arapaho
art|artificielle, langue (autre)
arw|arawak
asm|assamais
ast|asturien
ath|athapascanes, langues
aus|australiennes, langues
ava|avar
ave|avestique
awa|awadhi
aym|aymara
aze|azéri
bad|banda
bai|bamilékés langues
bak|bachkir
bal|baloutchi
bam|bambara
ban|balinais
baq|basque
bas|basa
bat|baltique, langue (autre)
bej|bedja
bel|biélorusse
bem|bemba
ben|bengali
ber|berbères, autres langues
bho|bhojpuri
bih|bihari
bik|bikol
bin|bini
bis|bichlamar
bla|siksika
bnt|bantoues, autres langues
bos|bosniaque
bra|braj
bre|breton
btk|batak (Indonésie)
bua|bouriate
bug|bugi
bul|bulgare
bur|birman
byn|bilen
cad|caddo
cai|indiennes d'Amérique centrale, autres langues
[cam]|khmer
car|caribe
cat|catalan
cau|caucasienne, autre langue
ceb|cebuano
cel|celtiques, autres langues
cha|chamorro
chb|chibcha
che|tchétchène
chg|djaghataï
chi|chinois
chk|chuuk
chm|mari
chn|chinook
cho|choctaw
chp|chipewyan
chr|cherokee
chu|slavon liturgique
chv|tchouvache
chy|cheyenne
cmc|chames, langues
cop|copte
cor|cornique
cos|corse
cpe|créoles et pidgins anglais, autre
cpf|créoles et pidgins français, autre
cpp|créoles et pidgins portugais, autres
cre|cree
crh|tatar criméen
crp|créoles et pidgins divers
csb|kachoube
cus|couchitique, autres langues
cze|tchèque
dak|dakota
dan|danois
dar|dargwa
day|dayak
del|delaware
den|esclave (athapascan)
dgr|dogrib
din|dinka
div|maldivien
doi|dogri
dra|dravidiennes, autres langues
dsb|bas-sorabe
dua|douala
dum|néerlandais, moyen (ca. 1050-1350)
dut|néerlandais
dyu|dioula
dzo|dzongkha
efi|efik
