a|ressource textuelle, sauf manuscrite|100.fdt
b|ressource textuelle manuscrite|100.fdt
c|musique notée, sauf manuscrite|100.fdt
d|musique notée, manuscrite|100.fdt
e|ressource cartographique, sauf manuscrite|100.fdt
f|ressource cartographique, manuscrite|100.fdt
g|ressource projetée ou vidéo (films, bandes film, diapositives, transparents, enregistrements vidéo)|100.fdt
i|enregistrement sonore, non-musical|100.fdt
j|enregistrement sonore, musical|100.fdt
k|document graphique à deux dimensions (images, dessins, etc.)|100.fdt
l|ressource électronique|100.fdt
m|document multimédia|100.fdt
r|objet en trois dimensions, artefact|100.fdt
