#|Contenido no especificado
a|Resúmenes/Sumarios
b|Bibliografías
c|Catálogos
d|Diccionarios
e|Enciclopedias
f|Manuales
g|Artículos jurídicos
h|Biografías
i|Indices
j|Documento de patente
k|Discografías
l|Legislación
m|Tesis
n|Revisiones de literatura sobre un tema determinado
o|Reseñas
p|Textos programados
q|Filmografías
r|Directorios
s|Estadísticas
t|Reportes técnicos
u|Estándares/Especificaciones
v|Casos y notas legales
y|Anuarios
w|Informes y digestos legales
z|Tratados
2|Separatas y preprints
5|Calendarios
6|Historietas/novelas gráficas
 |No se provee información

