#|Non précisée
a|Analyses/résumés
b|Bibliographies
c|Catalogues
d|Dictionnaires
e|Encyclopédies
f|Manuels
g|Articles juridiques
h|Biographie
i|Index
k|Discographies
l|Législation
m|Thèses
n|Études de la littérature sur un sujet
o|Recension de livres
p|Textes programmés
q|Filmographies
r|Répertoires
s|Statistiques
t|Rapports techniques
u|Normes/spécifications
v|Causes juridiques, notes de causes
w|Recueils de jurisprudence, lois et compilations
z|Traités
 |Aucune tentative de coder
