3006
bk_8.fdt|a||Document textuel  
mu_8.fdt|c||Notation musicale
mu_8.fdt|d||Notation musicale manuscrite
mp_8.fdt|e||Document cartographique  
mp_8.fdt|f||Document cartographique manuscrit 
vm_8.fdt|g||Matériel visionné par projection
mu_8.fdt|i||Enregistrement sonore non musical  
mu_8.fdt|j||Enregistrement sonore musical
vm_8.fdt|k||Document iconique en deux dimensions non projeté
cf_8.fdt|m||Fichier d'ordinateur
vm_8.fdt|o||Ensemble multi-supports
vm_8.fdt|p||Documents de genres multiples
vm_8.fdt|r||Artefact en trois-dimensions ou objet naturel 
se_8.fdt|s||Publication en série
bk_8.fdt|t||Document textuel manuscrit
