abk|Abkhaz
ace|Achinese
ach|Acoli
ada|Adangme
aar|Afar
afh|Afrihili (Artificial language)
afr|Afrikaans
afa|Afroasiatic, Mada (Cameroon), Tupuri (Other)
aka|Akan
akk|Akkadian
alb|Albanian
ale|Aleut
alg|Algonquian (Other)
tut|Altaic (Other)
amh|Amharic
apa|Apache languages
ara|Arabic
arc|Aramaic
arp|Arapaho
arw|Arawak
arm|Armenian
art|Artificial (Other)
asm|Assamese
ath|Athapascan (Other)
aus|Australian languages, Kitja
map|Austronesian (Other)
ava|Avaric
ave|Avestan
awa|Awadhi
aym|Aymara
aze|Azerbaijani
ban|Balinese
bat|Baltic (Other)
bal|Baluchi
bam|Bambara
bai|Bamileke languages
bad|Banda
bnt|Bantu (Other)
bas|Basa
bak|Bashkir
baq|Basque
btk|Batak
bej|Beja
bel|Belarusian
bem|Bemba
ben|Bengali
ber|Berber (Other)
bho|Bhojpuri
bih|Bihari
bik|Bikol
bin|Bini
bis|Bislama
bos|Bosnian
bra|Braj
bre|Breton
bug|Bugis
bul|Bulgarian
bua|Buriat
bur|Burmese
cad|Caddo
rom|Cal¢ (Romani)
car|Carib
cat|Catalan
cau|Caucasian, Dido (Other)
ceb|Cebuano
cel|Celtic (Other)
cai|Central American Indian, Amuzgo (Other)
chg|Chagatai
cmc|Chamic languages
cha|Chamorro
che|Chechen
chr|Cherokee
chy|Cheyenne
chb|Chibcha
chi|Chinese
chn|Chinook jargon
chp|Chipewyan
cho|Choctaw
chu|Church Slavic
chv|Chuvash
cop|Coptic
cor|Cornish
cos|Corsican
cre|Cree
mus|Creek
crp|Creoles and Pidgins (Other)
cpe|Creoles and Pidgins, English-based (Other)
cpf|Creoles and Pidgins, Micif,French-based (Other)
cpp|Creoles and Pidgins, Portuguese-based (Other)
scr|Croatian
cus|Cushitic (Other)
cze|Czech
dak|Dakota
dan|Danish
day|Dayak
del|Delaware
din|Dinka
div|Divehi
doi|Dogri
dgr|Dogrib
dra|Dravidian (Other)
dua|Duala
dut|Dutch
dum|Dutch, Middle (ca. 1050-1350)
dyu|Dyula
dzo|Dzongkha
efi|Efik
egy|Egyptian
eka|Ekajuk
elx|Elamite
eng|English
enm|English, Middle (1100-1500)
ang|English, Old (ca. 450-1100)
epo|Esperanto
est|Estonian
gez|Ethiopic
ewe|Ewe
ewo|Ewondo
fan|Fang
fat|Fanti
fao|Faroese
fij|Fijian
fin|Finnish
fiu|Finno-Ugrian (Other)
fon|Fon
fre|French
frm|French, Middle (ca. 1400-1600)
fro|French, Old (ca. 842-1400)
fry|Frisian
fur|Friulian
ful|Fula
gaa|G∆
glg|Galician
lug|Ganda
gay|Gayo
gba|Gbaya
geo|Georgian
ger|German
gmh|German, Middle High (ca. 1050-1500)
goh|German, Old High (ca. 750-1050)
gil|Gilbertese
gon|Gondi
gor|Gorontalo
got|Gothic
grb|Grebo
grc|Greek, Ancient (to 1453)
gre|Greek, Modern (1453- )
grn|Guarani
guj|Gujarati
sem|Gurage languages
gwi|Gwich'in
hai|Haida
hau|Hausa
haw|Hawaiian
heb|Hebrew
her|Herero
hil|Hiligaynon
him|Himachali
hin|Hindi
hmo|Hiri Motu
hit|Hittite
hmn|Hmong
hun|Hungarian
hup|Hupa
iba|Iban
ice|Icelandic
ibo|Igbo
ijo|Ijo
ilo|Iloko
inc|Indic, Suriname Hindustani (Other)
ine|Indo-European (Other)
ind|Indonesian
ina|Interlingua (International Auxiliary Language Association)
ile|Interlingue
iku|Inuktitut
ipk|Inupiaq
ira|Iranian (Other)
gle|Irish
mga|Irish, Middle (ca. 1100-1550)
sga|Irish, Old (to 1100)
iro|Iroquoian (Other)
ita|Italian
jpn|Japanese
jav|Javanese
jrb|Judeo-Arabic
jpr|Judeo-Persian
kab|Kabyle
kac|Kachin, Achang
kal|Kal‚tdlisut
kam|Kamba
kan|Kannada
kau|Kanuri
kaa|Kara-Kalpak
kar|Karen
kas|Kashmiri
kaw|Kawi
kaz|Kazakh
kha|Khasi
khm|Khmer
khi|Khoisan (Other)
kho|Khotanese
kik|Kikuyu
kmb|Kimbundu
kin|Kinyarwanda
kom|Komi
kon|Kongo
kok|Konkani
kor|Korean
kpe|Kpelle
kro|Kru
kua|Kuanyama
kum|Kumyk
kur|Kurdish
kru|Kurukh
kos|Kusaie
kut|Kutenai
kir|Kyrgyz
lad|Ladino
lah|Lahnda
lam|Lamba
lao|Lao
lat|Latin
lav|Latvian
ltz|Letzeburgesch
lez|Lezgian
lin|Lingala
lit|Lithuanian
nds|Low German
loz|Lozi
lub|Luba-Katanga
lua|Luba-Lulua
lui|Luise§o
lun|Lunda
luo|Luo (Kenya and Tanzania)
lus|Lushai
mac|Macedonian
mad|Madurese
mag|Magahi
mai|Maithili
mak|Makasar
mlg|Malagasy
may|Malay
mal|Malayalam
mlt|Maltese
mnc|Manchu
mdr|Mandar
man|Mandingo
mni|Manipuri
mno|Manobo languages
glv|Manx
mao|Maori
arn|Mapuche
