a|language material_|bk_8.fdt
c|notated music_|mu_8.fdt
d|manuscript music_|mu_8.fdt
e|cartographic material_|mp_8.fdt
f|manuscript cartographic material_|mp_8.fdt
g|projected medium_|vm_8.fdt
i|nonmusical sound recording_|mu_8.fdt
j|musical sound recording_|mu_8.fdt
k|two-dimensional nonprojectable graphic_|vm_8.fdt
m|computer file_|cf_8.fdt
o|kit_|vm_8.fdt
p|mixed material_|mm_8.fdt
r|three-dimensional artifact or naturally occurring object_|vm_8.fdt
t|manuscript language material_|bk_8.fdt
