actor|Actor
adapter|Adapter
annotator|Annotator
applicant|Applicant
architect|Architect
arranger|Arranger
artist|Artist
assignee|Assignee
associated name|Associated name
attributed name|Attributed name
auctioneer|Auctioneer
author|Author
author in quotations or text abstracts|Author in quotations or text abstracts
author of afterword, colophon, etc.|Author of afterword, colophon, etc.
author of introduction|Author of introduction
author of screenplay, etc|Author of screenplay, etc.
bibliographic antecedent|Bibliographic antecedent
binder|Binder
binding designer|Binding designer
book designer|Book designer
book producer|Book producer
bookjacket designer|Bookjacket designer
bookplate designer|Bookplate designer
bookseller|Bookseller
calligrapher|Calligrapher
cartographer|Cartographer
censor|Censor
choreographer|Choreographer
client|Client
collaborator|Collaborator
collector|Collector
collotyper|Collotyper
commentator|Commentator
compiler|Compiler
complainant|Complainant
complainant-appellant|Complainant-appellant
complainant-appellee|Complainant-appellee
composer|Composer
compositor|Compositor
conceptor|Conceptor
conductor|Conductor
consultant|Consultant
contestant|Contestant
contestant-appellant|Contestant-appellant
contestant-appellee|Contestant-appellee
contestee|Contestee
contestee-appellee|Contestee-appellee
contractor|Contractor
contributor|Contributor
copyright claimant|Copyright claimant
copyright holder|Copyright holder
corrector|Corrector
correspondent|Correspondent
costume designer|Costume designer
creator|Creator
curator|Curator
dancer|Dancer
dedicatee|Dedicatee
dedicator|Dedicator
defendant|Defendant
defendant-appellant|Defendant-appellant
defendant-appellee|Defendant-appellee
delineator|Delineator
depositor|Depositor
designer|Designer
director|Director
dissertant|Dissertant
distributor|Distributor
donor|Donor
draftsman|Draftsman
dubious author|Dubious author
editor|Editor
electrotyper|Electrotyper
engineer|Engineer
engraver|Engraver
etcher|Etcher
expert|Expert
facsimilist|Facsimilist
film editor|Film editor
forger|Forger
former owner|Former owner
funder|Funder
graphic technician|Graphic technician
honoree|Honoree
host|Host
illuminator|Illuminator
illustrator|Illustrator
inscriber|Inscriber
instrumentalist|Instrumentalist
interviewee|Interviewee
interviewer|Interviewer
inventor|Inventor
landscape architect|Landscape architect
lender|Lender
libelant|Libelant
libelant-appellant|Libelant-appellant
libelant-appellee|Libelant-appellee
libelee|Libelee
libelee-appellant|Libelee-appellant
libelee-appellee|Libelee-appellee
librettist|Librettist
licensee|Licensee
licensor|Licensor
lithographer|Lithographer
lyricist|Lyricist
metadata contact|Metadata contact
metal-engraver|Metal-engraver
moderator|Moderator
monitor|Monitor
musician|Musician
narrator|Narrator
originator|Originator
other|Other
owner|Owner
papermaker|Papermaker
patent holder|Patent holder
patron|Patron
performer|Performer
photographer|Photographer
plaintiff|Plaintiff
plaintiff-appellant|Plaintiff-appellant
plaintiff-appellee|Plaintiff-appellee
platemaker|Platemaker
printer|Printer
printer of plates|Printer of plates
process contact|Process contact
producer|Producer
production personnel|Production personnel
programmer|Programmer
proofreader|Proofreader
publisher|Publisher
publishing director|Publishing director
recipient|Recipient
recording engineer|Recording engineer
redactor|Redactor
renderer|Renderer
respondent|Respondent
respondent-appellant|Respondent-appellant
respondent-appellee|Respondent-appellee
reviewer|Reviewer
rubricator|Rubricator
scenarist|Scenarist
scientific advisor|Scientific advisor
scribe|Scribe
sculptor|Sculptor
secretary|Secretary
signer|Signer
singer|Singer
speaker|Speaker
sponsor|Sponsor
stereotyper|Stereotyper
surveyor|Surveyor
thesis advisor|Thesis advisor
transcriber|Transcriber
translator|Translator
type designer|Type designer
typographer|Typographer
vocalist|Vocalist
witness|Witness
wood-engraver, woodcutter|Wood-engraver, woodcutter
writer of accompanying material|Writer of accompanying material
